sexe;preusuel;annais;nombre
2;MELISSANDRE;1980;4
2;MELISSANDRE;1982;5
2;MELISSANDRE;1983;6
2;MELISSANDRE;1984;7
2;MELISSANDRE;1985;15
2;MELISSANDRE;1986;11
2;MELISSANDRE;1987;15
2;MELISSANDRE;1988;23
2;MELISSANDRE;1989;26
2;MELISSANDRE;1990;36
2;MELISSANDRE;1991;15
2;MELISSANDRE;1992;59
2;MELISSANDRE;1993;39
2;MELISSANDRE;1994;51
2;MELISSANDRE;1995;49
2;MELISSANDRE;1996;51
2;MELISSANDRE;1997;42
2;MELISSANDRE;1998;43
2;MELISSANDRE;1999;55
2;MELISSANDRE;2000;62
2;MELISSANDRE;2001;49
2;MELISSANDRE;2002;70
2;MELISSANDRE;2003;47
2;MELISSANDRE;2004;46
2;MELISSANDRE;2005;67
2;MELISSANDRE;2006;51
2;MELISSANDRE;2007;47
2;MELISSANDRE;2008;51
2;MELISSANDRE;2009;37
2;MELISSANDRE;2010;35
2;MELISSANDRE;2011;19
2;MELISSANDRE;2012;7
2;MELISSANDRE;2013;9
2;MELISSANDRE;2014;13
2;MELISSANDRE;2015;9
2;MELISSANDRE;2016;8
2;MELISSANDRE;2017;9
2;MELISSANDRE;2018;3
2;MELISSANDRE;XXXX;11
