sexe;preusuel;annais;nombre
2;NORIA;1953;6
2;NORIA;1954;5
2;NORIA;1955;12
2;NORIA;1956;14
2;NORIA;1957;24
2;NORIA;1958;20
2;NORIA;1959;15
2;NORIA;1960;27
2;NORIA;1961;35
2;NORIA;1962;36
2;NORIA;1963;48
2;NORIA;1964;46
2;NORIA;1965;44
2;NORIA;1966;54
2;NORIA;1967;59
2;NORIA;1968;45
2;NORIA;1969;42
2;NORIA;1970;41
2;NORIA;1971;45
2;NORIA;1972;31
2;NORIA;1973;36
2;NORIA;1974;32
2;NORIA;1975;26
2;NORIA;1976;24
2;NORIA;1977;29
2;NORIA;1978;27
2;NORIA;1979;25
2;NORIA;1980;21
2;NORIA;1981;28
2;NORIA;1982;25
2;NORIA;1983;24
2;NORIA;1984;24
2;NORIA;1985;14
2;NORIA;1986;18
2;NORIA;1987;16
2;NORIA;1988;18
2;NORIA;1989;23
2;NORIA;1990;33
2;NORIA;1991;15
2;NORIA;1992;14
2;NORIA;1993;27
2;NORIA;1994;18
2;NORIA;1995;18
2;NORIA;1996;12
2;NORIA;1997;15
2;NORIA;1998;17
2;NORIA;1999;17
2;NORIA;2000;14
2;NORIA;2001;9
2;NORIA;2002;12
2;NORIA;2003;7
2;NORIA;2004;17
2;NORIA;2005;10
2;NORIA;2006;4
2;NORIA;2007;6
2;NORIA;2008;10
2;NORIA;2009;10
2;NORIA;2010;7
2;NORIA;2011;9
2;NORIA;2012;7
2;NORIA;2013;7
2;NORIA;2014;10
2;NORIA;2015;7
2;NORIA;2016;12
2;NORIA;2017;10
2;NORIA;2018;12
2;NORIA;2019;6
2;NORIA;2020;8
2;NORIA;2021;4
2;NORIA;2022;5
2;NORIA;XXXX;5
