sexe;preusuel;annais;nombre
1;RAOUF;1958;3
1;RAOUF;1962;3
1;RAOUF;1964;3
1;RAOUF;1965;3
1;RAOUF;1966;5
1;RAOUF;1967;5
1;RAOUF;1968;5
1;RAOUF;1969;6
1;RAOUF;1970;12
1;RAOUF;1971;14
1;RAOUF;1972;12
1;RAOUF;1973;17
1;RAOUF;1974;24
1;RAOUF;1975;18
1;RAOUF;1976;26
1;RAOUF;1977;30
1;RAOUF;1978;21
1;RAOUF;1979;38
1;RAOUF;1980;32
1;RAOUF;1981;29
1;RAOUF;1982;38
1;RAOUF;1983;29
1;RAOUF;1984;24
1;RAOUF;1985;24
1;RAOUF;1986;21
1;RAOUF;1987;19
1;RAOUF;1988;19
1;RAOUF;1989;10
1;RAOUF;1990;11
1;RAOUF;1991;8
1;RAOUF;1992;9
1;RAOUF;1993;9
1;RAOUF;1995;10
1;RAOUF;1996;11
1;RAOUF;1997;9
1;RAOUF;1998;9
1;RAOUF;1999;4
1;RAOUF;2000;9
1;RAOUF;2001;8
1;RAOUF;2002;8
1;RAOUF;2003;12
1;RAOUF;2004;10
1;RAOUF;2005;4
1;RAOUF;2006;5
1;RAOUF;2007;9
1;RAOUF;2008;10
1;RAOUF;2009;6
1;RAOUF;2010;9
1;RAOUF;2011;12
1;RAOUF;2012;9
1;RAOUF;2013;7
1;RAOUF;2014;9
1;RAOUF;2015;14
1;RAOUF;2016;11
1;RAOUF;2017;7
1;RAOUF;2018;5
1;RAOUF;2019;12
1;RAOUF;2021;7
1;RAOUF;2022;8
1;RAOUF;XXXX;13
