sexe;preusuel;annais;nombre
2;CAROLL;1946;3
2;CAROLL;1947;5
2;CAROLL;1948;3
2;CAROLL;1949;7
2;CAROLL;1950;7
2;CAROLL;1951;4
2;CAROLL;1952;6
2;CAROLL;1953;8
2;CAROLL;1954;7
2;CAROLL;1955;6
2;CAROLL;1957;7
2;CAROLL;1958;3
2;CAROLL;1962;5
2;CAROLL;1963;3
2;CAROLL;1964;10
2;CAROLL;1965;11
2;CAROLL;1966;9
2;CAROLL;1967;9
2;CAROLL;1968;7
2;CAROLL;1969;11
2;CAROLL;1970;10
2;CAROLL;1971;10
2;CAROLL;1972;5
2;CAROLL;1973;10
2;CAROLL;1974;10
2;CAROLL;1975;6
2;CAROLL;1976;4
2;CAROLL;1980;6
2;CAROLL;1984;4
2;CAROLL;1985;5
2;CAROLL;1986;4
2;CAROLL;1987;4
2;CAROLL;1988;3
2;CAROLL;1990;4
2;CAROLL;1992;5
2;CAROLL;XXXX;26
