sexe;preusuel;annais;nombre
1;SLIM;1955;3
1;SLIM;1958;10
1;SLIM;1960;4
1;SLIM;1961;7
1;SLIM;1962;8
1;SLIM;1963;6
1;SLIM;1964;7
1;SLIM;1965;11
1;SLIM;1966;10
1;SLIM;1967;14
1;SLIM;1968;14
1;SLIM;1969;18
1;SLIM;1970;17
1;SLIM;1971;26
1;SLIM;1972;29
1;SLIM;1973;27
1;SLIM;1974;37
1;SLIM;1975;29
1;SLIM;1976;32
1;SLIM;1977;43
1;SLIM;1978;23
1;SLIM;1979;39
1;SLIM;1980;39
1;SLIM;1981;29
1;SLIM;1982;30
1;SLIM;1983;25
1;SLIM;1984;28
1;SLIM;1985;22
1;SLIM;1986;28
1;SLIM;1987;26
1;SLIM;1988;27
1;SLIM;1989;24
1;SLIM;1990;31
1;SLIM;1991;26
1;SLIM;1992;21
1;SLIM;1993;22
1;SLIM;1994;14
1;SLIM;1995;11
1;SLIM;1996;18
1;SLIM;1997;10
1;SLIM;1998;8
1;SLIM;1999;9
1;SLIM;2000;5
1;SLIM;2001;9
1;SLIM;2002;4
1;SLIM;2003;9
1;SLIM;2004;5
1;SLIM;2005;10
1;SLIM;2006;3
1;SLIM;2007;10
1;SLIM;2008;5
1;SLIM;2009;5
1;SLIM;2011;4
1;SLIM;2012;5
1;SLIM;2013;5
1;SLIM;2015;4
1;SLIM;2016;3
1;SLIM;2017;4
1;SLIM;2020;3
1;SLIM;2021;4
1;SLIM;XXXX;20
