sexe;preusuel;annais;nombre
1;APPOLINAIRE;1900;11
1;APPOLINAIRE;1901;11
1;APPOLINAIRE;1902;9
1;APPOLINAIRE;1903;6
1;APPOLINAIRE;1904;8
1;APPOLINAIRE;1905;16
1;APPOLINAIRE;1906;11
1;APPOLINAIRE;1907;14
1;APPOLINAIRE;1908;15
1;APPOLINAIRE;1909;15
1;APPOLINAIRE;1910;8
1;APPOLINAIRE;1911;18
1;APPOLINAIRE;1912;9
1;APPOLINAIRE;1913;10
1;APPOLINAIRE;1914;16
1;APPOLINAIRE;1915;10
1;APPOLINAIRE;1916;10
1;APPOLINAIRE;1917;8
1;APPOLINAIRE;1918;9
1;APPOLINAIRE;1919;12
1;APPOLINAIRE;1920;13
1;APPOLINAIRE;1921;10
1;APPOLINAIRE;1922;9
1;APPOLINAIRE;1923;3
1;APPOLINAIRE;1924;11
1;APPOLINAIRE;1925;6
1;APPOLINAIRE;1926;11
1;APPOLINAIRE;1927;14
1;APPOLINAIRE;1928;9
1;APPOLINAIRE;1929;5
1;APPOLINAIRE;1930;8
1;APPOLINAIRE;1931;5
1;APPOLINAIRE;1932;6
1;APPOLINAIRE;1933;3
1;APPOLINAIRE;1934;7
1;APPOLINAIRE;1935;6
1;APPOLINAIRE;1937;3
1;APPOLINAIRE;1938;6
1;APPOLINAIRE;1939;6
1;APPOLINAIRE;1940;4
1;APPOLINAIRE;1942;7
1;APPOLINAIRE;1943;7
1;APPOLINAIRE;1944;6
1;APPOLINAIRE;1945;4
1;APPOLINAIRE;1947;10
1;APPOLINAIRE;1948;6
1;APPOLINAIRE;1949;3
1;APPOLINAIRE;1950;5
1;APPOLINAIRE;1951;11
1;APPOLINAIRE;1952;3
1;APPOLINAIRE;1954;3
1;APPOLINAIRE;1956;7
1;APPOLINAIRE;1957;5
1;APPOLINAIRE;1958;8
1;APPOLINAIRE;1962;3
1;APPOLINAIRE;1963;6
1;APPOLINAIRE;1965;3
1;APPOLINAIRE;1968;3
1;APPOLINAIRE;1975;3
1;APPOLINAIRE;XXXX;32
