sexe;preusuel;annais;nombre
2;CANAN;1974;3
2;CANAN;1975;4
2;CANAN;1976;6
2;CANAN;1977;6
2;CANAN;1978;8
2;CANAN;1979;4
2;CANAN;1980;7
2;CANAN;1981;9
2;CANAN;1982;9
2;CANAN;1983;11
2;CANAN;1984;13
2;CANAN;1985;8
2;CANAN;1986;11
2;CANAN;1987;7
2;CANAN;1988;10
2;CANAN;1989;4
2;CANAN;1990;11
2;CANAN;1991;9
2;CANAN;1992;10
2;CANAN;1993;9
2;CANAN;1994;9
2;CANAN;1995;5
2;CANAN;1996;7
2;CANAN;1997;4
2;CANAN;1999;3
2;CANAN;2000;4
2;CANAN;2001;4
2;CANAN;2004;3
2;CANAN;2005;5
2;CANAN;2006;5
2;CANAN;2014;3
2;CANAN;XXXX;19
