sexe;preusuel;annais;nombre
1;FRANCK-OLIVIER;1967;3
1;FRANCK-OLIVIER;1968;4
1;FRANCK-OLIVIER;1969;4
1;FRANCK-OLIVIER;1970;7
1;FRANCK-OLIVIER;1971;6
1;FRANCK-OLIVIER;1972;7
1;FRANCK-OLIVIER;1973;9
1;FRANCK-OLIVIER;1974;10
1;FRANCK-OLIVIER;1975;15
1;FRANCK-OLIVIER;1976;3
1;FRANCK-OLIVIER;1977;6
1;FRANCK-OLIVIER;1979;5
1;FRANCK-OLIVIER;1980;3
1;FRANCK-OLIVIER;1982;8
1;FRANCK-OLIVIER;1983;3
1;FRANCK-OLIVIER;1986;6
1;FRANCK-OLIVIER;1987;3
1;FRANCK-OLIVIER;1988;5
1;FRANCK-OLIVIER;1989;4
1;FRANCK-OLIVIER;1990;9
1;FRANCK-OLIVIER;1991;10
1;FRANCK-OLIVIER;1992;5
1;FRANCK-OLIVIER;1993;7
1;FRANCK-OLIVIER;1997;3
1;FRANCK-OLIVIER;1999;4
1;FRANCK-OLIVIER;2004;3
1;FRANCK-OLIVIER;2005;3
1;FRANCK-OLIVIER;XXXX;27
