sexe;preusuel;annais;nombre
1;DAVID-ALEXANDRE;1969;18
1;DAVID-ALEXANDRE;1970;15
1;DAVID-ALEXANDRE;1971;15
1;DAVID-ALEXANDRE;1972;28
1;DAVID-ALEXANDRE;1973;17
1;DAVID-ALEXANDRE;1974;15
1;DAVID-ALEXANDRE;1975;16
1;DAVID-ALEXANDRE;1976;19
1;DAVID-ALEXANDRE;1977;18
1;DAVID-ALEXANDRE;1978;8
1;DAVID-ALEXANDRE;1979;5
1;DAVID-ALEXANDRE;1980;13
1;DAVID-ALEXANDRE;1981;15
1;DAVID-ALEXANDRE;1982;13
1;DAVID-ALEXANDRE;1983;7
1;DAVID-ALEXANDRE;1984;13
1;DAVID-ALEXANDRE;1985;28
1;DAVID-ALEXANDRE;1986;17
1;DAVID-ALEXANDRE;1987;11
1;DAVID-ALEXANDRE;1988;19
1;DAVID-ALEXANDRE;1989;15
1;DAVID-ALEXANDRE;1990;15
1;DAVID-ALEXANDRE;1991;14
1;DAVID-ALEXANDRE;1992;6
1;DAVID-ALEXANDRE;1993;18
1;DAVID-ALEXANDRE;1994;10
1;DAVID-ALEXANDRE;1995;7
1;DAVID-ALEXANDRE;1996;4
1;DAVID-ALEXANDRE;1997;8
1;DAVID-ALEXANDRE;1998;3
1;DAVID-ALEXANDRE;1999;7
1;DAVID-ALEXANDRE;2000;3
1;DAVID-ALEXANDRE;2001;4
1;DAVID-ALEXANDRE;2003;4
1;DAVID-ALEXANDRE;2004;8
1;DAVID-ALEXANDRE;2005;3
1;DAVID-ALEXANDRE;2006;3
1;DAVID-ALEXANDRE;2010;3
1;DAVID-ALEXANDRE;2011;3
1;DAVID-ALEXANDRE;2014;3
1;DAVID-ALEXANDRE;XXXX;15
