sexe;preusuel;annais;nombre
1;ANAS;1974;4
1;ANAS;1977;3
1;ANAS;1978;12
1;ANAS;1979;8
1;ANAS;1980;9
1;ANAS;1981;8
1;ANAS;1982;15
1;ANAS;1983;16
1;ANAS;1984;10
1;ANAS;1985;17
1;ANAS;1986;20
1;ANAS;1987;16
1;ANAS;1988;27
1;ANAS;1989;33
1;ANAS;1990;30
1;ANAS;1991;42
1;ANAS;1992;61
1;ANAS;1993;61
1;ANAS;1994;77
1;ANAS;1995;77
1;ANAS;1996;83
1;ANAS;1997;89
1;ANAS;1998;119
1;ANAS;1999;102
1;ANAS;2000;99
1;ANAS;2001;169
1;ANAS;2002;136
1;ANAS;2003;205
1;ANAS;2004;210
1;ANAS;2005;249
1;ANAS;2006;280
1;ANAS;2007;295
1;ANAS;2008;354
1;ANAS;2009;423
1;ANAS;2010;432
1;ANAS;2011;451
1;ANAS;2012;474
1;ANAS;2013;531
1;ANAS;2014;543
1;ANAS;2015;604
1;ANAS;2016;624
1;ANAS;2017;592
1;ANAS;2018;589
1;ANAS;2019;611
1;ANAS;2020;758
1;ANAS;2021;725
1;ANAS;2022;747
1;ANAS;XXXX;8
