sexe;preusuel;annais;nombre
2;MANOLITA;1927;4
2;MANOLITA;1931;3
2;MANOLITA;1939;6
2;MANOLITA;1940;5
2;MANOLITA;1941;5
2;MANOLITA;1943;6
2;MANOLITA;1944;5
2;MANOLITA;1945;7
2;MANOLITA;1946;10
2;MANOLITA;1947;8
2;MANOLITA;1948;16
2;MANOLITA;1949;9
2;MANOLITA;1950;8
2;MANOLITA;1951;10
2;MANOLITA;1952;11
2;MANOLITA;1953;10
2;MANOLITA;1954;11
2;MANOLITA;1955;9
2;MANOLITA;1956;6
2;MANOLITA;1957;5
2;MANOLITA;1958;8
2;MANOLITA;1959;8
2;MANOLITA;1960;6
2;MANOLITA;1961;9
2;MANOLITA;1962;7
2;MANOLITA;1963;10
2;MANOLITA;1964;16
2;MANOLITA;1965;21
2;MANOLITA;1966;16
2;MANOLITA;1967;12
2;MANOLITA;1968;15
2;MANOLITA;1969;12
2;MANOLITA;1970;10
2;MANOLITA;1971;6
2;MANOLITA;1972;12
2;MANOLITA;1973;3
2;MANOLITA;1974;12
2;MANOLITA;1975;6
2;MANOLITA;1985;3
2;MANOLITA;1989;4
2;MANOLITA;1990;5
2;MANOLITA;1991;9
2;MANOLITA;1996;4
2;MANOLITA;1997;3
2;MANOLITA;1998;3
2;MANOLITA;2001;3
2;MANOLITA;2004;3
2;MANOLITA;2007;3
2;MANOLITA;2008;3
2;MANOLITA;XXXX;47
