sexe;preusuel;annais;nombre
2;MARIE-DENISE;1900;4
2;MARIE-DENISE;1901;3
2;MARIE-DENISE;1905;3
2;MARIE-DENISE;1908;7
2;MARIE-DENISE;1910;4
2;MARIE-DENISE;1912;3
2;MARIE-DENISE;1913;4
2;MARIE-DENISE;1920;3
2;MARIE-DENISE;1921;6
2;MARIE-DENISE;1922;3
2;MARIE-DENISE;1923;4
2;MARIE-DENISE;1924;6
2;MARIE-DENISE;1926;3
2;MARIE-DENISE;1927;3
2;MARIE-DENISE;1929;3
2;MARIE-DENISE;1934;7
2;MARIE-DENISE;1936;3
2;MARIE-DENISE;1937;3
2;MARIE-DENISE;1938;4
2;MARIE-DENISE;1940;4
2;MARIE-DENISE;1941;3
2;MARIE-DENISE;1945;3
2;MARIE-DENISE;1946;7
2;MARIE-DENISE;1947;10
2;MARIE-DENISE;1948;8
2;MARIE-DENISE;1949;14
2;MARIE-DENISE;1950;9
2;MARIE-DENISE;1951;4
2;MARIE-DENISE;1952;6
2;MARIE-DENISE;1953;4
2;MARIE-DENISE;1954;20
2;MARIE-DENISE;1955;20
2;MARIE-DENISE;1956;15
2;MARIE-DENISE;1957;15
2;MARIE-DENISE;1958;13
2;MARIE-DENISE;1959;10
2;MARIE-DENISE;1960;12
2;MARIE-DENISE;1961;13
2;MARIE-DENISE;1962;17
2;MARIE-DENISE;1963;9
2;MARIE-DENISE;1964;6
2;MARIE-DENISE;1965;15
2;MARIE-DENISE;1966;14
2;MARIE-DENISE;1967;20
2;MARIE-DENISE;1968;12
2;MARIE-DENISE;1969;6
2;MARIE-DENISE;1970;12
2;MARIE-DENISE;1971;7
2;MARIE-DENISE;1972;7
2;MARIE-DENISE;1973;3
2;MARIE-DENISE;1974;4
2;MARIE-DENISE;1975;3
2;MARIE-DENISE;1976;7
2;MARIE-DENISE;1977;3
2;MARIE-DENISE;1978;4
2;MARIE-DENISE;1979;3
2;MARIE-DENISE;1980;4
2;MARIE-DENISE;1981;3
2;MARIE-DENISE;1982;4
2;MARIE-DENISE;1984;3
2;MARIE-DENISE;1985;3
2;MARIE-DENISE;1986;4
2;MARIE-DENISE;1988;3
2;MARIE-DENISE;1990;3
2;MARIE-DENISE;XXXX;51
