sexe;preusuel;annais;nombre
2;FLORIA;1900;4
2;FLORIA;1901;5
2;FLORIA;1902;6
2;FLORIA;1903;9
2;FLORIA;1904;4
2;FLORIA;1905;3
2;FLORIA;1906;5
2;FLORIA;1907;4
2;FLORIA;1908;6
2;FLORIA;1909;3
2;FLORIA;1910;4
2;FLORIA;1912;5
2;FLORIA;1913;4
2;FLORIA;1914;6
2;FLORIA;1919;5
2;FLORIA;1920;10
2;FLORIA;1922;5
2;FLORIA;1923;3
2;FLORIA;1924;4
2;FLORIA;1925;5
2;FLORIA;1926;4
2;FLORIA;1927;4
2;FLORIA;1928;8
2;FLORIA;1932;7
2;FLORIA;1934;7
2;FLORIA;1939;3
2;FLORIA;1957;4
2;FLORIA;1959;3
2;FLORIA;1966;4
2;FLORIA;1969;3
2;FLORIA;1970;3
2;FLORIA;1981;3
2;FLORIA;1982;3
2;FLORIA;1983;10
2;FLORIA;1984;10
2;FLORIA;1986;3
2;FLORIA;1987;5
2;FLORIA;1988;6
2;FLORIA;1989;10
2;FLORIA;1990;10
2;FLORIA;1991;7
2;FLORIA;1992;9
2;FLORIA;1993;11
2;FLORIA;1994;17
2;FLORIA;1995;12
2;FLORIA;1996;12
2;FLORIA;1997;14
2;FLORIA;1998;17
2;FLORIA;1999;4
2;FLORIA;2000;12
2;FLORIA;2001;9
2;FLORIA;2002;10
2;FLORIA;2003;12
2;FLORIA;2004;7
2;FLORIA;2005;16
2;FLORIA;2006;5
2;FLORIA;2007;3
2;FLORIA;2008;6
2;FLORIA;2009;7
2;FLORIA;2011;3
2;FLORIA;2012;7
2;FLORIA;2013;4
2;FLORIA;2014;13
2;FLORIA;2015;9
2;FLORIA;2016;10
2;FLORIA;2017;4
2;FLORIA;2018;4
2;FLORIA;2019;3
2;FLORIA;2021;5
2;FLORIA;2022;6
2;FLORIA;XXXX;54
