sexe;preusuel;annais;nombre
1;SALEM;1950;3
1;SALEM;1951;5
1;SALEM;1952;6
1;SALEM;1953;8
1;SALEM;1954;11
1;SALEM;1955;9
1;SALEM;1956;13
1;SALEM;1957;17
1;SALEM;1958;20
1;SALEM;1959;13
1;SALEM;1960;20
1;SALEM;1961;14
1;SALEM;1962;21
1;SALEM;1963;28
1;SALEM;1964;26
1;SALEM;1965;36
1;SALEM;1966;30
1;SALEM;1967;33
1;SALEM;1968;34
1;SALEM;1969;29
1;SALEM;1970;32
1;SALEM;1971;35
1;SALEM;1972;46
1;SALEM;1973;46
1;SALEM;1974;32
1;SALEM;1975;21
1;SALEM;1976;26
1;SALEM;1977;37
1;SALEM;1978;40
1;SALEM;1979;36
1;SALEM;1980;48
1;SALEM;1981;36
1;SALEM;1982;40
1;SALEM;1983;42
1;SALEM;1984;46
1;SALEM;1985;38
1;SALEM;1986;27
1;SALEM;1987;39
1;SALEM;1988;25
1;SALEM;1989;17
1;SALEM;1990;21
1;SALEM;1991;21
1;SALEM;1992;21
1;SALEM;1993;22
1;SALEM;1994;18
1;SALEM;1995;20
1;SALEM;1996;19
1;SALEM;1997;21
1;SALEM;1998;19
1;SALEM;1999;30
1;SALEM;2000;24
1;SALEM;2001;34
1;SALEM;2002;31
1;SALEM;2003;29
1;SALEM;2004;25
1;SALEM;2005;23
1;SALEM;2006;23
1;SALEM;2007;33
1;SALEM;2008;29
1;SALEM;2009;28
1;SALEM;2010;34
1;SALEM;2011;29
1;SALEM;2012;35
1;SALEM;2013;29
1;SALEM;2014;27
1;SALEM;2015;17
1;SALEM;2016;21
1;SALEM;2017;27
1;SALEM;2018;25
1;SALEM;2019;31
1;SALEM;2020;22
1;SALEM;2021;27
1;SALEM;2022;21
1;SALEM;XXXX;7
