sexe;preusuel;annais;nombre
1;DJORDAN;1993;8
1;DJORDAN;1994;6
1;DJORDAN;1995;4
1;DJORDAN;1996;11
1;DJORDAN;1997;6
1;DJORDAN;1998;8
1;DJORDAN;1999;9
1;DJORDAN;2000;12
1;DJORDAN;2001;7
1;DJORDAN;2002;12
1;DJORDAN;2003;5
1;DJORDAN;2004;7
1;DJORDAN;2005;9
1;DJORDAN;2006;7
1;DJORDAN;2007;8
1;DJORDAN;2008;11
1;DJORDAN;2009;9
1;DJORDAN;2010;11
1;DJORDAN;2011;8
1;DJORDAN;2012;7
1;DJORDAN;2013;6
1;DJORDAN;2014;6
1;DJORDAN;2015;4
1;DJORDAN;2016;4
1;DJORDAN;2017;3
1;DJORDAN;2018;5
1;DJORDAN;2019;3
1;DJORDAN;2021;3
1;DJORDAN;2022;3
1;DJORDAN;XXXX;2
