sexe;preusuel;annais;nombre
2;ALYSSA;1981;3
2;ALYSSA;1984;3
2;ALYSSA;1987;11
2;ALYSSA;1988;11
2;ALYSSA;1989;30
2;ALYSSA;1990;113
2;ALYSSA;1991;104
2;ALYSSA;1992;134
2;ALYSSA;1993;105
2;ALYSSA;1994;125
2;ALYSSA;1995;77
2;ALYSSA;1996;96
2;ALYSSA;1997;100
2;ALYSSA;1998;136
2;ALYSSA;1999;272
2;ALYSSA;2000;273
2;ALYSSA;2001;408
2;ALYSSA;2002;409
2;ALYSSA;2003;446
2;ALYSSA;2004;546
2;ALYSSA;2005;591
2;ALYSSA;2006;535
2;ALYSSA;2007;504
2;ALYSSA;2008;557
2;ALYSSA;2009;500
2;ALYSSA;2010;540
2;ALYSSA;2011;600
2;ALYSSA;2012;487
2;ALYSSA;2013;502
2;ALYSSA;2014;463
2;ALYSSA;2015;438
2;ALYSSA;2016;365
2;ALYSSA;2017;326
2;ALYSSA;2018;294
2;ALYSSA;2019;292
2;ALYSSA;2020;256
2;ALYSSA;2021;277
2;ALYSSA;2022;180
2;ALYSSA;XXXX;12
