sexe;preusuel;annais;nombre
2;ORIANNE;1955;3
2;ORIANNE;1971;7
2;ORIANNE;1972;17
2;ORIANNE;1973;14
2;ORIANNE;1974;26
2;ORIANNE;1975;33
2;ORIANNE;1976;44
2;ORIANNE;1977;49
2;ORIANNE;1978;54
2;ORIANNE;1979;53
2;ORIANNE;1980;60
2;ORIANNE;1981;63
2;ORIANNE;1982;59
2;ORIANNE;1983;51
2;ORIANNE;1984;92
2;ORIANNE;1985;66
2;ORIANNE;1986;79
2;ORIANNE;1987;104
2;ORIANNE;1988;90
2;ORIANNE;1989;133
2;ORIANNE;1990;114
2;ORIANNE;1991;96
2;ORIANNE;1992;75
2;ORIANNE;1993;70
2;ORIANNE;1994;58
2;ORIANNE;1995;87
2;ORIANNE;1996;73
2;ORIANNE;1997;80
2;ORIANNE;1998;66
2;ORIANNE;1999;61
2;ORIANNE;2000;86
2;ORIANNE;2001;74
2;ORIANNE;2002;86
2;ORIANNE;2003;82
2;ORIANNE;2004;58
2;ORIANNE;2005;62
2;ORIANNE;2006;58
2;ORIANNE;2007;45
2;ORIANNE;2008;45
2;ORIANNE;2009;30
2;ORIANNE;2010;22
2;ORIANNE;2011;28
2;ORIANNE;2012;22
2;ORIANNE;2013;19
2;ORIANNE;2014;32
2;ORIANNE;2015;29
2;ORIANNE;2016;19
2;ORIANNE;2017;13
2;ORIANNE;2018;16
2;ORIANNE;2019;12
2;ORIANNE;2020;11
2;ORIANNE;2021;9
2;ORIANNE;2022;8
2;ORIANNE;XXXX;11
