sexe;preusuel;annais;nombre
1;JOLAN;1987;3
1;JOLAN;1988;7
1;JOLAN;1989;12
1;JOLAN;1990;39
1;JOLAN;1991;27
1;JOLAN;1992;43
1;JOLAN;1993;39
1;JOLAN;1994;47
1;JOLAN;1995;49
1;JOLAN;1996;44
1;JOLAN;1997;47
1;JOLAN;1998;35
1;JOLAN;1999;49
1;JOLAN;2000;54
1;JOLAN;2001;96
1;JOLAN;2002;99
1;JOLAN;2003;121
1;JOLAN;2004;75
1;JOLAN;2005;96
1;JOLAN;2006;89
1;JOLAN;2007;89
1;JOLAN;2008;95
1;JOLAN;2009;83
1;JOLAN;2010;77
1;JOLAN;2011;97
1;JOLAN;2012;60
1;JOLAN;2013;64
1;JOLAN;2014;54
1;JOLAN;2015;53
1;JOLAN;2016;57
1;JOLAN;2017;43
1;JOLAN;2018;41
1;JOLAN;2019;39
1;JOLAN;2020;26
1;JOLAN;2021;28
1;JOLAN;2022;17
1;JOLAN;XXXX;4
