sexe;preusuel;annais;nombre
1;JEAN-YVES;1914;3
1;JEAN-YVES;1915;3
1;JEAN-YVES;1916;3
1;JEAN-YVES;1919;4
1;JEAN-YVES;1920;8
1;JEAN-YVES;1923;6
1;JEAN-YVES;1924;7
1;JEAN-YVES;1926;5
1;JEAN-YVES;1928;8
1;JEAN-YVES;1929;5
1;JEAN-YVES;1930;4
1;JEAN-YVES;1931;7
1;JEAN-YVES;1932;9
1;JEAN-YVES;1933;16
1;JEAN-YVES;1934;10
1;JEAN-YVES;1935;19
1;JEAN-YVES;1936;27
1;JEAN-YVES;1937;39
1;JEAN-YVES;1938;44
1;JEAN-YVES;1939;50
1;JEAN-YVES;1940;63
1;JEAN-YVES;1941;62
1;JEAN-YVES;1942;117
1;JEAN-YVES;1943;161
1;JEAN-YVES;1944;169
1;JEAN-YVES;1945;211
1;JEAN-YVES;1946;454
1;JEAN-YVES;1947;775
1;JEAN-YVES;1948;939
1;JEAN-YVES;1949;1113
1;JEAN-YVES;1950;1117
1;JEAN-YVES;1951;1208
1;JEAN-YVES;1952;1002
1;JEAN-YVES;1953;1211
1;JEAN-YVES;1954;1210
1;JEAN-YVES;1955;1390
1;JEAN-YVES;1956;1494
1;JEAN-YVES;1957;1597
1;JEAN-YVES;1958;1577
1;JEAN-YVES;1959;1698
1;JEAN-YVES;1960;1523
1;JEAN-YVES;1961;1484
1;JEAN-YVES;1962;1450
1;JEAN-YVES;1963;1577
1;JEAN-YVES;1964;1576
1;JEAN-YVES;1965;1370
1;JEAN-YVES;1966;1191
1;JEAN-YVES;1967;1147
1;JEAN-YVES;1968;1057
1;JEAN-YVES;1969;899
1;JEAN-YVES;1970;1005
1;JEAN-YVES;1971;754
1;JEAN-YVES;1972;638
1;JEAN-YVES;1973;533
1;JEAN-YVES;1974;386
1;JEAN-YVES;1975;335
1;JEAN-YVES;1976;256
1;JEAN-YVES;1977;262
1;JEAN-YVES;1978;198
1;JEAN-YVES;1979;228
1;JEAN-YVES;1980;229
1;JEAN-YVES;1981;191
1;JEAN-YVES;1982;196
1;JEAN-YVES;1983;188
1;JEAN-YVES;1984;127
1;JEAN-YVES;1985;144
1;JEAN-YVES;1986;118
1;JEAN-YVES;1987;109
1;JEAN-YVES;1988;96
1;JEAN-YVES;1989;63
1;JEAN-YVES;1990;75
1;JEAN-YVES;1991;55
1;JEAN-YVES;1992;46
1;JEAN-YVES;1993;47
1;JEAN-YVES;1994;37
1;JEAN-YVES;1995;24
1;JEAN-YVES;1996;31
1;JEAN-YVES;1997;26
1;JEAN-YVES;1998;35
1;JEAN-YVES;1999;9
1;JEAN-YVES;2000;18
1;JEAN-YVES;2001;16
1;JEAN-YVES;2002;21
1;JEAN-YVES;2003;13
1;JEAN-YVES;2004;10
1;JEAN-YVES;2005;10
1;JEAN-YVES;2006;9
1;JEAN-YVES;2007;8
1;JEAN-YVES;2008;5
1;JEAN-YVES;2009;8
1;JEAN-YVES;2010;7
1;JEAN-YVES;2013;4
1;JEAN-YVES;2015;5
1;JEAN-YVES;2016;4
1;JEAN-YVES;2017;4
1;JEAN-YVES;2018;5
1;JEAN-YVES;2019;3
1;JEAN-YVES;XXXX;36
