sexe;preusuel;annais;nombre
1;GILES;1921;3
1;GILES;1926;3
1;GILES;1930;3
1;GILES;1931;4
1;GILES;1932;6
1;GILES;1933;4
1;GILES;1935;3
1;GILES;1936;8
1;GILES;1937;4
1;GILES;1938;3
1;GILES;1939;6
1;GILES;1940;4
1;GILES;1941;6
1;GILES;1942;3
1;GILES;1945;6
1;GILES;1946;9
1;GILES;1947;5
1;GILES;1948;7
1;GILES;1950;6
1;GILES;1951;4
1;GILES;1952;4
1;GILES;1953;5
1;GILES;1954;6
1;GILES;1955;8
1;GILES;1956;6
1;GILES;1957;12
1;GILES;1958;4
1;GILES;1959;4
1;GILES;1960;10
1;GILES;1961;5
1;GILES;1963;6
1;GILES;1974;3
1;GILES;1981;4
1;GILES;XXXX;51
