sexe;preusuel;annais;nombre
2;AMELYA;1995;3
2;AMELYA;1996;3
2;AMELYA;1997;5
2;AMELYA;1998;5
2;AMELYA;1999;8
2;AMELYA;2000;6
2;AMELYA;2001;4
2;AMELYA;2002;7
2;AMELYA;2003;10
2;AMELYA;2004;19
2;AMELYA;2005;22
2;AMELYA;2006;26
2;AMELYA;2007;26
2;AMELYA;2008;24
2;AMELYA;2009;28
2;AMELYA;2010;35
2;AMELYA;2011;23
2;AMELYA;2012;26
2;AMELYA;2013;26
2;AMELYA;2014;19
2;AMELYA;2015;28
2;AMELYA;2016;28
2;AMELYA;2017;35
2;AMELYA;2018;22
2;AMELYA;2019;32
2;AMELYA;2020;34
2;AMELYA;2021;38
2;AMELYA;2022;41
2;AMELYA;XXXX;4
