sexe;preusuel;annais;nombre
2;ALEXANDRE;1902;6
2;ALEXANDRE;1903;3
2;ALEXANDRE;1905;4
2;ALEXANDRE;1907;3
2;ALEXANDRE;1909;4
2;ALEXANDRE;1914;4
2;ALEXANDRE;1916;3
2;ALEXANDRE;1921;4
2;ALEXANDRE;1922;3
2;ALEXANDRE;1926;6
2;ALEXANDRE;1927;4
2;ALEXANDRE;1931;6
2;ALEXANDRE;1933;3
2;ALEXANDRE;1939;4
2;ALEXANDRE;1941;3
2;ALEXANDRE;1942;3
2;ALEXANDRE;1945;3
2;ALEXANDRE;1946;3
2;ALEXANDRE;1947;7
2;ALEXANDRE;1952;4
2;ALEXANDRE;1957;3
2;ALEXANDRE;1959;5
2;ALEXANDRE;1964;3
2;ALEXANDRE;1971;3
2;ALEXANDRE;1972;4
2;ALEXANDRE;1979;3
2;ALEXANDRE;1991;4
2;ALEXANDRE;1992;4
2;ALEXANDRE;1994;3
2;ALEXANDRE;2000;3
2;ALEXANDRE;2001;6
2;ALEXANDRE;2002;6
2;ALEXANDRE;2003;9
2;ALEXANDRE;2004;5
2;ALEXANDRE;2005;3
2;ALEXANDRE;2006;6
2;ALEXANDRE;XXXX;80
