sexe;preusuel;annais;nombre
2;LESLY;1972;4
2;LESLY;1973;3
2;LESLY;1974;3
2;LESLY;1975;7
2;LESLY;1976;10
2;LESLY;1977;13
2;LESLY;1978;9
2;LESLY;1979;11
2;LESLY;1980;17
2;LESLY;1981;22
2;LESLY;1982;20
2;LESLY;1983;36
2;LESLY;1984;36
2;LESLY;1985;19
2;LESLY;1986;35
2;LESLY;1987;35
2;LESLY;1988;40
2;LESLY;1989;48
2;LESLY;1990;53
2;LESLY;1991;72
2;LESLY;1992;44
2;LESLY;1993;64
2;LESLY;1994;62
2;LESLY;1995;56
2;LESLY;1996;44
2;LESLY;1997;57
2;LESLY;1998;73
2;LESLY;1999;78
2;LESLY;2000;64
2;LESLY;2001;94
2;LESLY;2002;87
2;LESLY;2003;47
2;LESLY;2004;53
2;LESLY;2005;57
2;LESLY;2006;51
2;LESLY;2007;48
2;LESLY;2008;45
2;LESLY;2009;45
2;LESLY;2010;41
2;LESLY;2011;39
2;LESLY;2012;43
2;LESLY;2013;39
2;LESLY;2014;37
2;LESLY;2015;27
2;LESLY;2016;33
2;LESLY;2017;29
2;LESLY;2018;37
2;LESLY;2019;16
2;LESLY;2020;18
2;LESLY;2021;15
2;LESLY;2022;10
2;LESLY;XXXX;8
