sexe;preusuel;annais;nombre
1;MARCUS;1907;3
1;MARCUS;1908;4
1;MARCUS;1909;3
1;MARCUS;1925;5
1;MARCUS;1926;3
1;MARCUS;1931;3
1;MARCUS;1934;5
1;MARCUS;1956;3
1;MARCUS;1959;5
1;MARCUS;1961;3
1;MARCUS;1962;4
1;MARCUS;1963;3
1;MARCUS;1964;3
1;MARCUS;1965;6
1;MARCUS;1966;6
1;MARCUS;1967;5
1;MARCUS;1968;3
1;MARCUS;1970;5
1;MARCUS;1971;6
1;MARCUS;1972;7
1;MARCUS;1973;8
1;MARCUS;1974;6
1;MARCUS;1975;4
1;MARCUS;1977;4
1;MARCUS;1982;4
1;MARCUS;1983;7
1;MARCUS;1984;3
1;MARCUS;1985;6
1;MARCUS;1986;6
1;MARCUS;1987;5
1;MARCUS;1988;5
1;MARCUS;1989;10
1;MARCUS;1990;8
1;MARCUS;1992;6
1;MARCUS;1993;12
1;MARCUS;1994;14
1;MARCUS;1995;15
1;MARCUS;1996;22
1;MARCUS;1997;28
1;MARCUS;1998;27
1;MARCUS;1999;46
1;MARCUS;2000;57
1;MARCUS;2001;51
1;MARCUS;2002;55
1;MARCUS;2003;63
1;MARCUS;2004;73
1;MARCUS;2005;73
1;MARCUS;2006;75
1;MARCUS;2007;90
1;MARCUS;2008;104
1;MARCUS;2009;121
1;MARCUS;2010;102
1;MARCUS;2011;178
1;MARCUS;2012;186
1;MARCUS;2013;200
1;MARCUS;2014;215
1;MARCUS;2015;264
1;MARCUS;2016;296
1;MARCUS;2017;306
1;MARCUS;2018;319
1;MARCUS;2019;345
1;MARCUS;2020;272
1;MARCUS;2021;353
1;MARCUS;2022;328
1;MARCUS;XXXX;46
