sexe;preusuel;annais;nombre
1;JEAN-FRED;1948;3
1;JEAN-FRED;1949;6
1;JEAN-FRED;1950;4
1;JEAN-FRED;1951;5
1;JEAN-FRED;1952;3
1;JEAN-FRED;1953;4
1;JEAN-FRED;1954;5
1;JEAN-FRED;1955;5
1;JEAN-FRED;1956;8
1;JEAN-FRED;1957;6
1;JEAN-FRED;1958;4
1;JEAN-FRED;1959;8
1;JEAN-FRED;1960;11
1;JEAN-FRED;1961;9
1;JEAN-FRED;1962;8
1;JEAN-FRED;1963;15
1;JEAN-FRED;1964;17
1;JEAN-FRED;1965;21
1;JEAN-FRED;1966;19
1;JEAN-FRED;1967;12
1;JEAN-FRED;1968;20
1;JEAN-FRED;1969;6
1;JEAN-FRED;1970;16
1;JEAN-FRED;1971;9
1;JEAN-FRED;1972;6
1;JEAN-FRED;1973;6
1;JEAN-FRED;1974;15
1;JEAN-FRED;1975;11
1;JEAN-FRED;1976;6
1;JEAN-FRED;1977;5
1;JEAN-FRED;1978;5
1;JEAN-FRED;1979;11
1;JEAN-FRED;1980;7
1;JEAN-FRED;1981;6
1;JEAN-FRED;1983;3
1;JEAN-FRED;1989;3
1;JEAN-FRED;XXXX;19
