sexe;preusuel;annais;nombre
2;ANNABELLE;1950;3
2;ANNABELLE;1952;4
2;ANNABELLE;1953;5
2;ANNABELLE;1954;5
2;ANNABELLE;1955;9
2;ANNABELLE;1956;6
2;ANNABELLE;1957;12
2;ANNABELLE;1958;11
2;ANNABELLE;1959;14
2;ANNABELLE;1960;17
2;ANNABELLE;1961;35
2;ANNABELLE;1962;24
2;ANNABELLE;1963;21
2;ANNABELLE;1964;39
2;ANNABELLE;1965;41
2;ANNABELLE;1966;83
2;ANNABELLE;1967;183
2;ANNABELLE;1968;149
2;ANNABELLE;1969;178
2;ANNABELLE;1970;384
2;ANNABELLE;1971;588
2;ANNABELLE;1972;581
2;ANNABELLE;1973;735
2;ANNABELLE;1974;665
2;ANNABELLE;1975;641
2;ANNABELLE;1976;621
2;ANNABELLE;1977;682
2;ANNABELLE;1978;558
2;ANNABELLE;1979;594
2;ANNABELLE;1980;579
2;ANNABELLE;1981;559
2;ANNABELLE;1982;598
2;ANNABELLE;1983;506
2;ANNABELLE;1984;390
2;ANNABELLE;1985;429
2;ANNABELLE;1986;381
2;ANNABELLE;1987;441
2;ANNABELLE;1988;730
2;ANNABELLE;1989;655
2;ANNABELLE;1990;613
2;ANNABELLE;1991;491
2;ANNABELLE;1992;392
2;ANNABELLE;1993;341
2;ANNABELLE;1994;309
2;ANNABELLE;1995;311
2;ANNABELLE;1996;290
2;ANNABELLE;1997;223
2;ANNABELLE;1998;202
2;ANNABELLE;1999;226
2;ANNABELLE;2000;209
2;ANNABELLE;2001;187
2;ANNABELLE;2002;194
2;ANNABELLE;2003;169
2;ANNABELLE;2004;155
2;ANNABELLE;2005;143
2;ANNABELLE;2006;138
2;ANNABELLE;2007;151
2;ANNABELLE;2008;143
2;ANNABELLE;2009;139
2;ANNABELLE;2010;141
2;ANNABELLE;2011;115
2;ANNABELLE;2012;136
2;ANNABELLE;2013;117
2;ANNABELLE;2014;133
2;ANNABELLE;2015;133
2;ANNABELLE;2016;105
2;ANNABELLE;2017;126
2;ANNABELLE;2018;120
2;ANNABELLE;2019;89
2;ANNABELLE;2020;82
2;ANNABELLE;2021;70
2;ANNABELLE;2022;64
2;ANNABELLE;XXXX;3
