sexe;preusuel;annais;nombre
2;RIM;1966;3
2;RIM;1969;3
2;RIM;1970;4
2;RIM;1971;5
2;RIM;1972;7
2;RIM;1973;5
2;RIM;1974;23
2;RIM;1975;17
2;RIM;1976;24
2;RIM;1977;17
2;RIM;1978;25
2;RIM;1979;26
2;RIM;1980;28
2;RIM;1981;30
2;RIM;1982;36
2;RIM;1983;33
2;RIM;1984;31
2;RIM;1985;33
2;RIM;1986;26
2;RIM;1987;18
2;RIM;1988;22
2;RIM;1989;20
2;RIM;1990;25
2;RIM;1991;22
2;RIM;1992;28
2;RIM;1993;29
2;RIM;1994;26
2;RIM;1995;25
2;RIM;1996;18
2;RIM;1997;24
2;RIM;1998;30
2;RIM;1999;33
2;RIM;2000;35
2;RIM;2001;27
2;RIM;2002;42
2;RIM;2003;31
2;RIM;2004;34
2;RIM;2005;30
2;RIM;2006;42
2;RIM;2007;37
2;RIM;2008;51
2;RIM;2009;64
2;RIM;2010;58
2;RIM;2011;77
2;RIM;2012;65
2;RIM;2013;64
2;RIM;2014;72
2;RIM;2015;81
2;RIM;2016;94
2;RIM;2017;72
2;RIM;2018;80
2;RIM;2019;92
2;RIM;2020;76
2;RIM;2021;69
2;RIM;2022;82
2;RIM;XXXX;5
