sexe;preusuel;annais;nombre
1;AMOS;1976;3
1;AMOS;1985;5
1;AMOS;1987;4
1;AMOS;1989;4
1;AMOS;1990;9
1;AMOS;1992;3
1;AMOS;1993;3
1;AMOS;1994;4
1;AMOS;1995;6
1;AMOS;1996;7
1;AMOS;1998;7
1;AMOS;1999;7
1;AMOS;2000;5
1;AMOS;2001;5
1;AMOS;2002;8
1;AMOS;2003;6
1;AMOS;2004;10
1;AMOS;2005;12
1;AMOS;2006;16
1;AMOS;2007;11
1;AMOS;2008;10
1;AMOS;2009;19
1;AMOS;2010;11
1;AMOS;2011;10
1;AMOS;2012;14
1;AMOS;2013;12
1;AMOS;2014;12
1;AMOS;2015;15
1;AMOS;2016;19
1;AMOS;2017;14
1;AMOS;2018;16
1;AMOS;2019;26
1;AMOS;2020;31
1;AMOS;2021;32
1;AMOS;2022;17
1;AMOS;XXXX;33
