sexe;preusuel;annais;nombre
1;HAKAN;1970;3
1;HAKAN;1972;4
1;HAKAN;1973;4
1;HAKAN;1974;11
1;HAKAN;1975;16
1;HAKAN;1976;10
1;HAKAN;1977;33
1;HAKAN;1978;26
1;HAKAN;1979;31
1;HAKAN;1980;24
1;HAKAN;1981;23
1;HAKAN;1982;22
1;HAKAN;1983;24
1;HAKAN;1984;33
1;HAKAN;1985;28
1;HAKAN;1986;38
1;HAKAN;1987;29
1;HAKAN;1988;40
1;HAKAN;1989;45
1;HAKAN;1990;51
1;HAKAN;1991;39
1;HAKAN;1992;53
1;HAKAN;1993;56
1;HAKAN;1994;60
1;HAKAN;1995;51
1;HAKAN;1996;51
1;HAKAN;1997;52
1;HAKAN;1998;58
1;HAKAN;1999;45
1;HAKAN;2000;58
1;HAKAN;2001;53
1;HAKAN;2002;56
1;HAKAN;2003;41
1;HAKAN;2004;46
1;HAKAN;2005;29
1;HAKAN;2006;24
1;HAKAN;2007;18
1;HAKAN;2008;26
1;HAKAN;2009;19
1;HAKAN;2010;21
1;HAKAN;2011;24
1;HAKAN;2012;12
1;HAKAN;2013;15
1;HAKAN;2014;15
1;HAKAN;2015;12
1;HAKAN;2016;7
1;HAKAN;2017;12
1;HAKAN;2018;12
1;HAKAN;2019;13
1;HAKAN;2020;19
1;HAKAN;2021;23
1;HAKAN;2022;18
1;HAKAN;XXXX;3
