sexe;preusuel;annais;nombre
2;THAIS;1900;6
2;THAIS;1901;9
2;THAIS;1902;13
2;THAIS;1903;10
2;THAIS;1904;5
2;THAIS;1905;4
2;THAIS;1906;5
2;THAIS;1907;4
2;THAIS;1908;3
2;THAIS;1909;4
2;THAIS;1910;7
2;THAIS;1911;6
2;THAIS;1912;4
2;THAIS;1913;7
2;THAIS;1914;3
2;THAIS;1916;4
2;THAIS;1920;5
2;THAIS;1923;3
2;THAIS;1925;6
2;THAIS;1926;4
2;THAIS;1929;7
2;THAIS;1931;3
2;THAIS;1932;5
2;THAIS;1947;3
2;THAIS;1966;3
2;THAIS;1967;3
2;THAIS;1969;4
2;THAIS;1970;3
2;THAIS;1972;3
2;THAIS;1974;6
2;THAIS;1976;3
2;THAIS;1978;6
2;THAIS;1979;4
2;THAIS;1980;3
2;THAIS;1981;9
2;THAIS;1983;10
2;THAIS;1984;11
2;THAIS;1985;9
2;THAIS;1986;17
2;THAIS;1987;22
2;THAIS;1988;31
2;THAIS;1989;26
2;THAIS;1990;33
2;THAIS;1991;41
2;THAIS;1992;43
2;THAIS;1993;47
2;THAIS;1994;59
2;THAIS;1995;65
2;THAIS;1996;68
2;THAIS;1997;77
2;THAIS;1998;120
2;THAIS;1999;166
2;THAIS;2000;256
2;THAIS;2001;297
2;THAIS;2002;295
2;THAIS;2003;344
2;THAIS;2004;374
2;THAIS;2005;480
2;THAIS;2006;474
2;THAIS;2007;570
2;THAIS;2008;621
2;THAIS;2009;695
2;THAIS;2010;497
2;THAIS;2011;245
2;THAIS;2012;116
2;THAIS;2013;59
2;THAIS;2014;124
2;THAIS;2015;99
2;THAIS;2016;68
2;THAIS;2017;41
2;THAIS;2018;14
2;THAIS;2019;5
2;THAIS;2020;6
2;THAIS;2021;7
2;THAIS;2022;4
2;THAIS;XXXX;40
