sexe;preusuel;annais;nombre
2;ANNE-CAMILLE;1980;3
2;ANNE-CAMILLE;1981;8
2;ANNE-CAMILLE;1982;4
2;ANNE-CAMILLE;1983;4
2;ANNE-CAMILLE;1984;8
2;ANNE-CAMILLE;1985;9
2;ANNE-CAMILLE;1986;9
2;ANNE-CAMILLE;1987;7
2;ANNE-CAMILLE;1988;8
2;ANNE-CAMILLE;1989;9
2;ANNE-CAMILLE;1990;7
2;ANNE-CAMILLE;1991;8
2;ANNE-CAMILLE;1992;9
2;ANNE-CAMILLE;1993;14
2;ANNE-CAMILLE;1994;7
2;ANNE-CAMILLE;1995;5
2;ANNE-CAMILLE;1996;7
2;ANNE-CAMILLE;1998;7
2;ANNE-CAMILLE;1999;9
2;ANNE-CAMILLE;2000;7
2;ANNE-CAMILLE;2001;3
2;ANNE-CAMILLE;2003;3
2;ANNE-CAMILLE;2005;6
2;ANNE-CAMILLE;2010;3
2;ANNE-CAMILLE;2011;5
2;ANNE-CAMILLE;2012;6
2;ANNE-CAMILLE;XXXX;28
