sexe;preusuel;annais;nombre
2;GEMMA;1907;3
2;GEMMA;1908;4
2;GEMMA;1911;3
2;GEMMA;1912;5
2;GEMMA;1913;10
2;GEMMA;1914;3
2;GEMMA;1917;4
2;GEMMA;1919;4
2;GEMMA;1921;4
2;GEMMA;1923;8
2;GEMMA;1924;7
2;GEMMA;1925;5
2;GEMMA;1926;7
2;GEMMA;1927;8
2;GEMMA;1928;5
2;GEMMA;1929;8
2;GEMMA;1930;5
2;GEMMA;1931;6
2;GEMMA;1932;5
2;GEMMA;1933;9
2;GEMMA;1934;11
2;GEMMA;1935;6
2;GEMMA;1936;7
2;GEMMA;1937;11
2;GEMMA;1938;10
2;GEMMA;1939;7
2;GEMMA;1940;7
2;GEMMA;1945;3
2;GEMMA;1946;6
2;GEMMA;1947;3
2;GEMMA;1949;8
2;GEMMA;1950;5
2;GEMMA;1952;3
2;GEMMA;1954;4
2;GEMMA;1955;3
2;GEMMA;1956;4
2;GEMMA;1957;3
2;GEMMA;1958;4
2;GEMMA;1961;3
2;GEMMA;1963;6
2;GEMMA;1964;4
2;GEMMA;1967;3
2;GEMMA;1970;4
2;GEMMA;1979;3
2;GEMMA;1980;3
2;GEMMA;1982;3
2;GEMMA;1984;5
2;GEMMA;1986;6
2;GEMMA;1988;3
2;GEMMA;1989;3
2;GEMMA;1990;4
2;GEMMA;1991;6
2;GEMMA;1993;3
2;GEMMA;1994;3
2;GEMMA;1996;5
2;GEMMA;1997;6
2;GEMMA;1998;5
2;GEMMA;1999;7
2;GEMMA;2000;5
2;GEMMA;2001;3
2;GEMMA;2002;6
2;GEMMA;2003;4
2;GEMMA;2004;8
2;GEMMA;2005;6
2;GEMMA;2006;9
2;GEMMA;2007;10
2;GEMMA;2008;8
2;GEMMA;2009;7
2;GEMMA;2010;7
2;GEMMA;2011;13
2;GEMMA;2012;14
2;GEMMA;2013;14
2;GEMMA;2014;17
2;GEMMA;2015;23
2;GEMMA;2016;21
2;GEMMA;2017;23
2;GEMMA;2018;29
2;GEMMA;2019;26
2;GEMMA;2020;31
2;GEMMA;2021;32
2;GEMMA;2022;34
2;GEMMA;XXXX;50
