sexe;preusuel;annais;nombre
1;PAUL;1900;4922
1;PAUL;1901;5401
1;PAUL;1902;5643
1;PAUL;1903;5592
1;PAUL;1904;5878
1;PAUL;1905;5921
1;PAUL;1906;6302
1;PAUL;1907;6306
1;PAUL;1908;6629
1;PAUL;1909;6604
1;PAUL;1910;6638
1;PAUL;1911;6567
1;PAUL;1912;7014
1;PAUL;1913;6950
1;PAUL;1914;6830
1;PAUL;1915;4651
1;PAUL;1916;3729
1;PAUL;1917;3981
1;PAUL;1918;4539
1;PAUL;1919;5173
1;PAUL;1920;8773
1;PAUL;1921;8226
1;PAUL;1922;7812
1;PAUL;1923;7489
1;PAUL;1924;7382
1;PAUL;1925;7273
1;PAUL;1926;7134
1;PAUL;1927;6992
1;PAUL;1928;6854
1;PAUL;1929;6447
1;PAUL;1930;6691
1;PAUL;1931;6375
1;PAUL;1932;6230
1;PAUL;1933;5732
1;PAUL;1934;5596
1;PAUL;1935;5069
1;PAUL;1936;4719
1;PAUL;1937;4482
1;PAUL;1938;4362
1;PAUL;1939;4106
1;PAUL;1940;3719
1;PAUL;1941;3483
1;PAUL;1942;3424
1;PAUL;1943;3106
1;PAUL;1944;2889
1;PAUL;1945;2501
1;PAUL;1946;3530
1;PAUL;1947;3372
1;PAUL;1948;3184
1;PAUL;1949;3004
1;PAUL;1950;2688
1;PAUL;1951;2465
1;PAUL;1952;2237
1;PAUL;1953;2012
1;PAUL;1954;1908
1;PAUL;1955;1751
1;PAUL;1956;1598
1;PAUL;1957;1492
1;PAUL;1958;1460
1;PAUL;1959;1443
1;PAUL;1960;1249
1;PAUL;1961;1174
1;PAUL;1962;1101
1;PAUL;1963;1338
1;PAUL;1964;1128
1;PAUL;1965;1059
1;PAUL;1966;893
1;PAUL;1967;823
1;PAUL;1968;830
1;PAUL;1969;712
1;PAUL;1970;663
1;PAUL;1971;657
1;PAUL;1972;641
1;PAUL;1973;607
1;PAUL;1974;575
1;PAUL;1975;489
1;PAUL;1976;474
1;PAUL;1977;535
1;PAUL;1978;549
1;PAUL;1979;632
1;PAUL;1980;678
1;PAUL;1981;737
1;PAUL;1982;772
1;PAUL;1983;861
1;PAUL;1984;958
1;PAUL;1985;1050
1;PAUL;1986;1090
1;PAUL;1987;1366
1;PAUL;1988;1697
1;PAUL;1989;1722
1;PAUL;1990;1896
1;PAUL;1991;2224
1;PAUL;1992;2299
1;PAUL;1993;2609
1;PAUL;1994;2741
1;PAUL;1995;3277
1;PAUL;1996;3562
1;PAUL;1997;3354
1;PAUL;1998;3366
1;PAUL;1999;3869
1;PAUL;2000;4234
1;PAUL;2001;4189
1;PAUL;2002;3851
1;PAUL;2003;3628
1;PAUL;2004;3478
1;PAUL;2005;3493
1;PAUL;2006;3545
1;PAUL;2007;3326
1;PAUL;2008;3323
1;PAUL;2009;3200
1;PAUL;2010;3061
1;PAUL;2011;3128
1;PAUL;2012;3163
1;PAUL;2013;3141
1;PAUL;2014;3700
1;PAUL;2015;3656
1;PAUL;2016;3365
1;PAUL;2017;3153
1;PAUL;2018;2994
1;PAUL;2019;2838
1;PAUL;2020;2473
1;PAUL;2021;2290
1;PAUL;2022;2200
