sexe;preusuel;annais;nombre
1;MOHAMMED-AMINE;1994;4
1;MOHAMMED-AMINE;1995;4
1;MOHAMMED-AMINE;1996;4
1;MOHAMMED-AMINE;1999;7
1;MOHAMMED-AMINE;2000;8
1;MOHAMMED-AMINE;2001;9
1;MOHAMMED-AMINE;2002;5
1;MOHAMMED-AMINE;2003;13
1;MOHAMMED-AMINE;2004;9
1;MOHAMMED-AMINE;2005;10
1;MOHAMMED-AMINE;2006;23
1;MOHAMMED-AMINE;2007;20
1;MOHAMMED-AMINE;2008;20
1;MOHAMMED-AMINE;2009;27
1;MOHAMMED-AMINE;2010;27
1;MOHAMMED-AMINE;2011;21
1;MOHAMMED-AMINE;2012;18
1;MOHAMMED-AMINE;2013;21
1;MOHAMMED-AMINE;2014;22
1;MOHAMMED-AMINE;2015;22
1;MOHAMMED-AMINE;2016;16
1;MOHAMMED-AMINE;2017;19
1;MOHAMMED-AMINE;2018;17
1;MOHAMMED-AMINE;2019;10
1;MOHAMMED-AMINE;2020;13
1;MOHAMMED-AMINE;2021;4
1;MOHAMMED-AMINE;2022;8
1;MOHAMMED-AMINE;XXXX;12
