sexe;preusuel;annais;nombre
2;HUBERT;1900;3
2;HUBERT;1901;3
2;HUBERT;1904;3
2;HUBERT;1907;3
2;HUBERT;1909;3
2;HUBERT;1910;3
2;HUBERT;1912;5
2;HUBERT;1913;3
2;HUBERT;1914;4
2;HUBERT;1915;3
2;HUBERT;1916;3
2;HUBERT;1917;4
2;HUBERT;1918;4
2;HUBERT;1919;3
2;HUBERT;1920;5
2;HUBERT;1921;5
2;HUBERT;1922;3
2;HUBERT;1924;5
2;HUBERT;1925;4
2;HUBERT;1926;5
2;HUBERT;1927;4
2;HUBERT;1929;3
2;HUBERT;1930;4
2;HUBERT;1932;6
2;HUBERT;1933;4
2;HUBERT;1934;7
2;HUBERT;1935;8
2;HUBERT;1937;5
2;HUBERT;1940;3
2;HUBERT;1942;4
2;HUBERT;1943;4
2;HUBERT;1944;5
2;HUBERT;1947;6
2;HUBERT;1949;5
2;HUBERT;1950;5
2;HUBERT;1951;4
2;HUBERT;1962;6
2;HUBERT;XXXX;29
