sexe;preusuel;annais;nombre
2;DIABA;1981;5
2;DIABA;1982;3
2;DIABA;1983;10
2;DIABA;1984;3
2;DIABA;1985;3
2;DIABA;1986;9
2;DIABA;1987;6
2;DIABA;1988;5
2;DIABA;1989;6
2;DIABA;1990;6
2;DIABA;1991;8
2;DIABA;1992;3
2;DIABA;1993;6
2;DIABA;1994;5
2;DIABA;1995;4
2;DIABA;1996;3
2;DIABA;1997;6
2;DIABA;1998;3
2;DIABA;1999;7
2;DIABA;2000;7
2;DIABA;2001;7
2;DIABA;2002;4
2;DIABA;2003;6
2;DIABA;2004;3
2;DIABA;2005;4
2;DIABA;2006;9
2;DIABA;2007;9
2;DIABA;2008;4
2;DIABA;2009;13
2;DIABA;2010;7
2;DIABA;2011;4
2;DIABA;2012;10
2;DIABA;2013;4
2;DIABA;2014;6
2;DIABA;2015;5
2;DIABA;2016;4
2;DIABA;2018;7
2;DIABA;2019;7
2;DIABA;2020;9
2;DIABA;2021;8
2;DIABA;2022;4
2;DIABA;XXXX;9
