sexe;preusuel;annais;nombre
2;CHAYMA;1986;3
2;CHAYMA;1987;3
2;CHAYMA;1989;5
2;CHAYMA;1990;11
2;CHAYMA;1991;9
2;CHAYMA;1992;21
2;CHAYMA;1993;19
2;CHAYMA;1994;24
2;CHAYMA;1995;30
2;CHAYMA;1996;25
2;CHAYMA;1997;23
2;CHAYMA;1998;43
2;CHAYMA;1999;51
2;CHAYMA;2000;49
2;CHAYMA;2001;69
2;CHAYMA;2002;74
2;CHAYMA;2003;75
2;CHAYMA;2004;90
2;CHAYMA;2005;84
2;CHAYMA;2006;100
2;CHAYMA;2007;99
2;CHAYMA;2008;122
2;CHAYMA;2009;110
2;CHAYMA;2010;131
2;CHAYMA;2011;120
2;CHAYMA;2012;119
2;CHAYMA;2013;102
2;CHAYMA;2014;108
2;CHAYMA;2015;92
2;CHAYMA;2016;84
2;CHAYMA;2017;72
2;CHAYMA;2018;47
2;CHAYMA;2019;37
2;CHAYMA;2020;28
2;CHAYMA;2021;26
2;CHAYMA;2022;17
2;CHAYMA;XXXX;7
