sexe;preusuel;annais;nombre
1;PIERRE-ALEXIS;1969;3
1;PIERRE-ALEXIS;1970;4
1;PIERRE-ALEXIS;1971;8
1;PIERRE-ALEXIS;1972;3
1;PIERRE-ALEXIS;1973;5
1;PIERRE-ALEXIS;1974;10
1;PIERRE-ALEXIS;1975;8
1;PIERRE-ALEXIS;1976;5
1;PIERRE-ALEXIS;1977;10
1;PIERRE-ALEXIS;1978;10
1;PIERRE-ALEXIS;1979;13
1;PIERRE-ALEXIS;1980;9
1;PIERRE-ALEXIS;1981;17
1;PIERRE-ALEXIS;1982;14
1;PIERRE-ALEXIS;1983;18
1;PIERRE-ALEXIS;1984;12
1;PIERRE-ALEXIS;1985;32
1;PIERRE-ALEXIS;1986;18
1;PIERRE-ALEXIS;1987;34
1;PIERRE-ALEXIS;1988;25
1;PIERRE-ALEXIS;1989;37
1;PIERRE-ALEXIS;1990;54
1;PIERRE-ALEXIS;1991;42
1;PIERRE-ALEXIS;1992;52
1;PIERRE-ALEXIS;1993;46
1;PIERRE-ALEXIS;1994;46
1;PIERRE-ALEXIS;1995;42
1;PIERRE-ALEXIS;1996;46
1;PIERRE-ALEXIS;1997;29
1;PIERRE-ALEXIS;1998;23
1;PIERRE-ALEXIS;1999;23
1;PIERRE-ALEXIS;2000;30
1;PIERRE-ALEXIS;2001;25
1;PIERRE-ALEXIS;2002;28
1;PIERRE-ALEXIS;2003;20
1;PIERRE-ALEXIS;2004;7
1;PIERRE-ALEXIS;2005;11
1;PIERRE-ALEXIS;2006;9
1;PIERRE-ALEXIS;2007;7
1;PIERRE-ALEXIS;2008;12
1;PIERRE-ALEXIS;2009;8
1;PIERRE-ALEXIS;2010;5
1;PIERRE-ALEXIS;2011;8
1;PIERRE-ALEXIS;2012;7
1;PIERRE-ALEXIS;2013;5
1;PIERRE-ALEXIS;2014;4
1;PIERRE-ALEXIS;2016;5
1;PIERRE-ALEXIS;2018;3
1;PIERRE-ALEXIS;2019;3
1;PIERRE-ALEXIS;XXXX;14
