sexe;preusuel;annais;nombre
1;YANIK;1946;4
1;YANIK;1947;5
1;YANIK;1948;5
1;YANIK;1949;5
1;YANIK;1950;8
1;YANIK;1951;8
1;YANIK;1952;5
1;YANIK;1953;11
1;YANIK;1954;4
1;YANIK;1955;10
1;YANIK;1956;6
1;YANIK;1957;5
1;YANIK;1958;5
1;YANIK;1959;9
1;YANIK;1960;13
1;YANIK;1961;8
1;YANIK;1962;7
1;YANIK;1963;3
1;YANIK;1965;8
1;YANIK;1966;3
1;YANIK;1968;4
1;YANIK;1969;7
1;YANIK;1970;6
1;YANIK;1971;8
1;YANIK;1972;9
1;YANIK;1973;6
1;YANIK;1974;3
1;YANIK;1975;5
1;YANIK;1978;3
1;YANIK;1979;4
1;YANIK;1985;4
1;YANIK;1988;4
1;YANIK;2002;3
1;YANIK;2005;3
1;YANIK;2006;5
1;YANIK;2007;4
1;YANIK;2014;3
1;YANIK;2016;3
1;YANIK;2017;3
1;YANIK;2018;3
1;YANIK;2019;9
1;YANIK;2020;5
1;YANIK;2021;5
1;YANIK;2022;3
1;YANIK;XXXX;36
