sexe;preusuel;annais;nombre
1;VALÉRIE;1901;6
1;VALÉRIE;1903;3
1;VALÉRIE;1906;5
1;VALÉRIE;1907;5
1;VALÉRIE;1908;4
1;VALÉRIE;1909;8
1;VALÉRIE;1910;9
1;VALÉRIE;1912;5
1;VALÉRIE;1913;5
1;VALÉRIE;1914;4
1;VALÉRIE;1915;4
1;VALÉRIE;1916;4
1;VALÉRIE;1917;3
1;VALÉRIE;1918;3
1;VALÉRIE;1919;4
1;VALÉRIE;1920;10
1;VALÉRIE;1921;4
1;VALÉRIE;1923;6
1;VALÉRIE;1924;6
1;VALÉRIE;1925;6
1;VALÉRIE;1928;7
1;VALÉRIE;1931;3
1;VALÉRIE;1944;3
1;VALÉRIE;1948;3
1;VALÉRIE;1950;3
1;VALÉRIE;1952;5
1;VALÉRIE;1954;3
1;VALÉRIE;1956;4
1;VALÉRIE;1958;3
1;VALÉRIE;1959;3
1;VALÉRIE;1960;3
1;VALÉRIE;1963;3
1;VALÉRIE;1965;3
1;VALÉRIE;1966;4
1;VALÉRIE;1967;5
1;VALÉRIE;1970;4
1;VALÉRIE;1971;5
1;VALÉRIE;1972;3
1;VALÉRIE;1973;3
1;VALÉRIE;1974;5
1;VALÉRIE;1976;3
1;VALÉRIE;1977;3
1;VALÉRIE;XXXX;48
