sexe;preusuel;annais;nombre
2;LARA;1967;38
2;LARA;1968;51
2;LARA;1969;71
2;LARA;1970;83
2;LARA;1971;80
2;LARA;1972;71
2;LARA;1973;65
2;LARA;1974;85
2;LARA;1975;81
2;LARA;1976;87
2;LARA;1977;40
2;LARA;1978;50
2;LARA;1979;61
2;LARA;1980;51
2;LARA;1981;53
2;LARA;1982;40
2;LARA;1983;48
2;LARA;1984;66
2;LARA;1985;59
2;LARA;1986;51
2;LARA;1987;84
2;LARA;1988;113
2;LARA;1989;107
2;LARA;1990;149
2;LARA;1991;133
2;LARA;1992;144
2;LARA;1993;169
2;LARA;1994;186
2;LARA;1995;178
2;LARA;1996;196
2;LARA;1997;230
2;LARA;1998;382
2;LARA;1999;363
2;LARA;2000;254
2;LARA;2001;239
2;LARA;2002;312
2;LARA;2003;286
2;LARA;2004;309
2;LARA;2005;317
2;LARA;2006;323
2;LARA;2007;363
2;LARA;2008;367
2;LARA;2009;351
2;LARA;2010;364
2;LARA;2011;277
2;LARA;2012;303
2;LARA;2013;312
2;LARA;2014;358
2;LARA;2015;365
2;LARA;2016;340
2;LARA;2017;329
2;LARA;2018;325
2;LARA;2019;413
2;LARA;2020;374
2;LARA;2021;432
2;LARA;2022;384
2;LARA;XXXX;12
