sexe;preusuel;annais;nombre
2;MAELENN;1973;4
2;MAELENN;1976;4
2;MAELENN;1977;5
2;MAELENN;1978;3
2;MAELENN;1979;4
2;MAELENN;1980;5
2;MAELENN;1981;6
2;MAELENN;1982;11
2;MAELENN;1983;7
2;MAELENN;1984;10
2;MAELENN;1985;7
2;MAELENN;1986;9
2;MAELENN;1987;9
2;MAELENN;1988;8
2;MAELENN;1989;9
2;MAELENN;1990;9
2;MAELENN;1991;13
2;MAELENN;1992;13
2;MAELENN;1993;15
2;MAELENN;1994;13
2;MAELENN;1995;10
2;MAELENN;1996;7
2;MAELENN;1997;17
2;MAELENN;1998;20
2;MAELENN;1999;22
2;MAELENN;2000;26
2;MAELENN;2001;26
2;MAELENN;2002;20
2;MAELENN;2003;21
2;MAELENN;2004;22
2;MAELENN;2005;24
2;MAELENN;2006;19
2;MAELENN;2007;15
2;MAELENN;2008;9
2;MAELENN;2009;14
2;MAELENN;2010;13
2;MAELENN;2011;4
2;MAELENN;2012;3
2;MAELENN;2013;4
2;MAELENN;2016;4
2;MAELENN;2019;4
2;MAELENN;XXXX;6
