sexe;preusuel;annais;nombre
1;JEAN-BERNARD;1920;3
1;JEAN-BERNARD;1921;3
1;JEAN-BERNARD;1923;5
1;JEAN-BERNARD;1924;3
1;JEAN-BERNARD;1925;3
1;JEAN-BERNARD;1928;5
1;JEAN-BERNARD;1929;5
1;JEAN-BERNARD;1930;4
1;JEAN-BERNARD;1931;6
1;JEAN-BERNARD;1932;5
1;JEAN-BERNARD;1933;5
1;JEAN-BERNARD;1934;6
1;JEAN-BERNARD;1935;11
1;JEAN-BERNARD;1936;16
1;JEAN-BERNARD;1937;9
1;JEAN-BERNARD;1938;19
1;JEAN-BERNARD;1939;16
1;JEAN-BERNARD;1940;19
1;JEAN-BERNARD;1941;27
1;JEAN-BERNARD;1942;27
1;JEAN-BERNARD;1943;55
1;JEAN-BERNARD;1944;57
1;JEAN-BERNARD;1945;61
1;JEAN-BERNARD;1946;178
1;JEAN-BERNARD;1947;212
1;JEAN-BERNARD;1948;263
1;JEAN-BERNARD;1949;271
1;JEAN-BERNARD;1950;267
1;JEAN-BERNARD;1951;328
1;JEAN-BERNARD;1952;260
1;JEAN-BERNARD;1953;307
1;JEAN-BERNARD;1954;287
1;JEAN-BERNARD;1955;291
1;JEAN-BERNARD;1956;294
1;JEAN-BERNARD;1957;293
1;JEAN-BERNARD;1958;300
1;JEAN-BERNARD;1959;301
1;JEAN-BERNARD;1960;290
1;JEAN-BERNARD;1961;256
1;JEAN-BERNARD;1962;300
1;JEAN-BERNARD;1963;304
1;JEAN-BERNARD;1964;271
1;JEAN-BERNARD;1965;257
1;JEAN-BERNARD;1966;264
1;JEAN-BERNARD;1967;243
1;JEAN-BERNARD;1968;221
1;JEAN-BERNARD;1969;243
1;JEAN-BERNARD;1970;216
1;JEAN-BERNARD;1971;210
1;JEAN-BERNARD;1972;164
1;JEAN-BERNARD;1973;112
1;JEAN-BERNARD;1974;123
1;JEAN-BERNARD;1975;115
1;JEAN-BERNARD;1976;91
1;JEAN-BERNARD;1977;60
1;JEAN-BERNARD;1978;78
1;JEAN-BERNARD;1979;89
1;JEAN-BERNARD;1980;79
1;JEAN-BERNARD;1981;50
1;JEAN-BERNARD;1982;69
1;JEAN-BERNARD;1983;58
1;JEAN-BERNARD;1984;55
1;JEAN-BERNARD;1985;53
1;JEAN-BERNARD;1986;54
1;JEAN-BERNARD;1987;53
1;JEAN-BERNARD;1988;42
1;JEAN-BERNARD;1989;32
1;JEAN-BERNARD;1990;38
1;JEAN-BERNARD;1991;27
1;JEAN-BERNARD;1992;25
1;JEAN-BERNARD;1993;24
1;JEAN-BERNARD;1994;19
1;JEAN-BERNARD;1995;8
1;JEAN-BERNARD;1996;14
1;JEAN-BERNARD;1997;8
1;JEAN-BERNARD;1998;7
1;JEAN-BERNARD;1999;7
1;JEAN-BERNARD;2000;5
1;JEAN-BERNARD;2001;9
1;JEAN-BERNARD;2002;5
1;JEAN-BERNARD;2003;7
1;JEAN-BERNARD;2004;6
1;JEAN-BERNARD;2007;3
1;JEAN-BERNARD;XXXX;30
