sexe;preusuel;annais;nombre
1;BERTIN;1900;21
1;BERTIN;1901;23
1;BERTIN;1902;29
1;BERTIN;1903;29
1;BERTIN;1904;25
1;BERTIN;1905;33
1;BERTIN;1906;30
1;BERTIN;1907;37
1;BERTIN;1908;36
1;BERTIN;1909;35
1;BERTIN;1910;43
1;BERTIN;1911;32
1;BERTIN;1912;32
1;BERTIN;1913;36
1;BERTIN;1914;54
1;BERTIN;1915;20
1;BERTIN;1916;21
1;BERTIN;1917;24
1;BERTIN;1918;26
1;BERTIN;1919;17
1;BERTIN;1920;34
1;BERTIN;1921;51
1;BERTIN;1922;38
1;BERTIN;1923;33
1;BERTIN;1924;36
1;BERTIN;1925;28
1;BERTIN;1926;31
1;BERTIN;1927;31
1;BERTIN;1928;31
1;BERTIN;1929;28
1;BERTIN;1930;32
1;BERTIN;1931;33
1;BERTIN;1932;32
1;BERTIN;1933;27
1;BERTIN;1934;18
1;BERTIN;1935;25
1;BERTIN;1936;26
1;BERTIN;1937;24
1;BERTIN;1938;24
1;BERTIN;1939;21
1;BERTIN;1940;21
1;BERTIN;1941;17
1;BERTIN;1942;15
1;BERTIN;1943;21
1;BERTIN;1944;18
1;BERTIN;1945;20
1;BERTIN;1946;19
1;BERTIN;1947;14
1;BERTIN;1948;28
1;BERTIN;1949;17
1;BERTIN;1950;23
1;BERTIN;1951;27
1;BERTIN;1952;26
1;BERTIN;1953;26
1;BERTIN;1954;28
1;BERTIN;1955;24
1;BERTIN;1956;26
1;BERTIN;1957;13
1;BERTIN;1958;22
1;BERTIN;1959;21
1;BERTIN;1960;14
1;BERTIN;1961;15
1;BERTIN;1962;20
1;BERTIN;1963;13
1;BERTIN;1964;19
1;BERTIN;1965;13
1;BERTIN;1966;21
1;BERTIN;1967;11
1;BERTIN;1968;15
1;BERTIN;1969;8
1;BERTIN;1970;6
1;BERTIN;1971;11
1;BERTIN;1972;4
1;BERTIN;1979;3
1;BERTIN;1984;6
1;BERTIN;1985;3
1;BERTIN;1986;5
1;BERTIN;1989;4
1;BERTIN;1993;3
1;BERTIN;1995;6
1;BERTIN;1997;3
1;BERTIN;1998;3
1;BERTIN;1999;4
1;BERTIN;2000;3
1;BERTIN;2008;5
1;BERTIN;2009;3
1;BERTIN;2012;5
1;BERTIN;2016;4
1;BERTIN;2020;3
1;BERTIN;XXXX;45
