sexe;preusuel;annais;nombre
2;SAMRA;1977;8
2;SAMRA;1978;7
2;SAMRA;1979;8
2;SAMRA;1980;8
2;SAMRA;1981;19
2;SAMRA;1982;13
2;SAMRA;1983;10
2;SAMRA;1984;8
2;SAMRA;1985;4
2;SAMRA;1986;5
2;SAMRA;1988;4
2;SAMRA;1989;4
2;SAMRA;1990;8
2;SAMRA;1991;6
2;SAMRA;1992;12
2;SAMRA;1993;6
2;SAMRA;1994;7
2;SAMRA;1995;7
2;SAMRA;1996;10
2;SAMRA;1997;11
2;SAMRA;1998;5
2;SAMRA;1999;16
2;SAMRA;2000;11
2;SAMRA;2001;19
2;SAMRA;2002;34
2;SAMRA;2003;17
2;SAMRA;2004;23
2;SAMRA;2005;21
2;SAMRA;2006;21
2;SAMRA;2007;32
2;SAMRA;2008;18
2;SAMRA;2009;13
2;SAMRA;2010;10
2;SAMRA;2011;18
2;SAMRA;2012;26
2;SAMRA;2013;20
2;SAMRA;2014;23
2;SAMRA;2015;26
2;SAMRA;2016;22
2;SAMRA;2017;29
2;SAMRA;2018;25
2;SAMRA;2019;13
2;SAMRA;2020;15
2;SAMRA;2021;18
2;SAMRA;2022;13
2;SAMRA;XXXX;8
