sexe;preusuel;annais;nombre
1;LUBIN;1901;8
1;LUBIN;1905;5
1;LUBIN;1906;3
1;LUBIN;1908;4
1;LUBIN;1910;6
1;LUBIN;1911;3
1;LUBIN;1912;3
1;LUBIN;1913;5
1;LUBIN;1916;3
1;LUBIN;1918;3
1;LUBIN;1919;4
1;LUBIN;1920;6
1;LUBIN;1921;4
1;LUBIN;1922;5
1;LUBIN;1923;3
1;LUBIN;1924;3
1;LUBIN;1927;4
1;LUBIN;1928;3
1;LUBIN;1929;3
1;LUBIN;1932;4
1;LUBIN;1933;5
1;LUBIN;1935;4
1;LUBIN;1946;3
1;LUBIN;1949;3
1;LUBIN;1967;3
1;LUBIN;1969;3
1;LUBIN;1972;4
1;LUBIN;1979;3
1;LUBIN;1981;3
1;LUBIN;1986;4
1;LUBIN;1988;6
1;LUBIN;1990;5
1;LUBIN;1991;6
1;LUBIN;1992;4
1;LUBIN;1993;6
1;LUBIN;1994;9
1;LUBIN;1995;5
1;LUBIN;1996;6
1;LUBIN;1997;10
1;LUBIN;1998;5
1;LUBIN;1999;9
1;LUBIN;2000;21
1;LUBIN;2001;48
1;LUBIN;2002;93
1;LUBIN;2003;103
1;LUBIN;2004;141
1;LUBIN;2005;172
1;LUBIN;2006;210
1;LUBIN;2007;195
1;LUBIN;2008;215
1;LUBIN;2009;207
1;LUBIN;2010;229
1;LUBIN;2011;239
1;LUBIN;2012;243
1;LUBIN;2013;219
1;LUBIN;2014;204
1;LUBIN;2015;203
1;LUBIN;2016;174
1;LUBIN;2017;151
1;LUBIN;2018;157
1;LUBIN;2019;149
1;LUBIN;2020;121
1;LUBIN;2021;141
1;LUBIN;2022;134
1;LUBIN;XXXX;58
