sexe;preusuel;annais;nombre
1;PAUL-HENRI;1949;4
1;PAUL-HENRI;1950;6
1;PAUL-HENRI;1951;4
1;PAUL-HENRI;1952;5
1;PAUL-HENRI;1954;3
1;PAUL-HENRI;1955;6
1;PAUL-HENRI;1956;6
1;PAUL-HENRI;1957;6
1;PAUL-HENRI;1958;10
1;PAUL-HENRI;1959;5
1;PAUL-HENRI;1960;5
1;PAUL-HENRI;1961;5
1;PAUL-HENRI;1962;9
1;PAUL-HENRI;1963;12
1;PAUL-HENRI;1964;12
1;PAUL-HENRI;1965;11
1;PAUL-HENRI;1966;8
1;PAUL-HENRI;1967;10
1;PAUL-HENRI;1968;8
1;PAUL-HENRI;1969;6
1;PAUL-HENRI;1970;9
1;PAUL-HENRI;1971;12
1;PAUL-HENRI;1972;11
1;PAUL-HENRI;1973;10
1;PAUL-HENRI;1974;9
1;PAUL-HENRI;1975;9
1;PAUL-HENRI;1976;10
1;PAUL-HENRI;1977;8
1;PAUL-HENRI;1978;9
1;PAUL-HENRI;1979;19
1;PAUL-HENRI;1980;15
1;PAUL-HENRI;1981;18
1;PAUL-HENRI;1982;24
1;PAUL-HENRI;1983;21
1;PAUL-HENRI;1984;16
1;PAUL-HENRI;1985;26
1;PAUL-HENRI;1986;26
1;PAUL-HENRI;1987;27
1;PAUL-HENRI;1988;31
1;PAUL-HENRI;1989;35
1;PAUL-HENRI;1990;35
1;PAUL-HENRI;1991;29
1;PAUL-HENRI;1992;29
1;PAUL-HENRI;1993;21
1;PAUL-HENRI;1994;21
1;PAUL-HENRI;1995;22
1;PAUL-HENRI;1996;27
1;PAUL-HENRI;1997;24
1;PAUL-HENRI;1998;26
1;PAUL-HENRI;1999;18
1;PAUL-HENRI;2000;19
1;PAUL-HENRI;2001;17
1;PAUL-HENRI;2002;20
1;PAUL-HENRI;2003;30
1;PAUL-HENRI;2004;20
1;PAUL-HENRI;2005;20
1;PAUL-HENRI;2006;24
1;PAUL-HENRI;2007;10
1;PAUL-HENRI;2008;13
1;PAUL-HENRI;2009;8
1;PAUL-HENRI;2010;9
1;PAUL-HENRI;2011;6
1;PAUL-HENRI;2012;8
1;PAUL-HENRI;2013;10
1;PAUL-HENRI;2014;8
1;PAUL-HENRI;2015;11
1;PAUL-HENRI;2016;10
1;PAUL-HENRI;2017;5
1;PAUL-HENRI;2018;10
1;PAUL-HENRI;2019;3
1;PAUL-HENRI;2020;6
1;PAUL-HENRI;2021;5
1;PAUL-HENRI;2022;4
1;PAUL-HENRI;XXXX;4
