sexe;preusuel;annais;nombre
1;RYAN;1974;4
1;RYAN;1976;3
1;RYAN;1977;6
1;RYAN;1978;6
1;RYAN;1979;9
1;RYAN;1980;6
1;RYAN;1981;10
1;RYAN;1982;11
1;RYAN;1983;4
1;RYAN;1984;14
1;RYAN;1985;16
1;RYAN;1986;10
1;RYAN;1987;12
1;RYAN;1988;22
1;RYAN;1989;19
1;RYAN;1990;30
1;RYAN;1991;44
1;RYAN;1992;62
1;RYAN;1993;58
1;RYAN;1994;70
1;RYAN;1995;137
1;RYAN;1996;318
1;RYAN;1997;666
1;RYAN;1998;753
1;RYAN;1999;884
1;RYAN;2000;1009
1;RYAN;2001;979
1;RYAN;2002;1201
1;RYAN;2003;1139
1;RYAN;2004;1036
1;RYAN;2005;1048
1;RYAN;2006;954
1;RYAN;2007;866
1;RYAN;2008;842
1;RYAN;2009;821
1;RYAN;2010;750
1;RYAN;2011;712
1;RYAN;2012;686
1;RYAN;2013;605
1;RYAN;2014;604
1;RYAN;2015;557
1;RYAN;2016;490
1;RYAN;2017;439
1;RYAN;2018;377
1;RYAN;2019;346
1;RYAN;2020;261
1;RYAN;2021;300
1;RYAN;2022;230
1;RYAN;XXXX;11
