sexe;preusuel;annais;nombre
1;MATTIA;1983;3
1;MATTIA;1987;3
1;MATTIA;1989;4
1;MATTIA;1990;3
1;MATTIA;1991;8
1;MATTIA;1992;7
1;MATTIA;1993;6
1;MATTIA;1994;3
1;MATTIA;1995;7
1;MATTIA;1996;4
1;MATTIA;1997;5
1;MATTIA;1998;6
1;MATTIA;1999;8
1;MATTIA;2000;3
1;MATTIA;2001;9
1;MATTIA;2002;16
1;MATTIA;2003;18
1;MATTIA;2004;16
1;MATTIA;2005;22
1;MATTIA;2006;17
1;MATTIA;2007;21
1;MATTIA;2008;23
1;MATTIA;2009;32
1;MATTIA;2010;35
1;MATTIA;2011;39
1;MATTIA;2012;44
1;MATTIA;2013;48
1;MATTIA;2014;69
1;MATTIA;2015;79
1;MATTIA;2016;93
1;MATTIA;2017;86
1;MATTIA;2018;76
1;MATTIA;2019;102
1;MATTIA;2020;161
1;MATTIA;2021;349
1;MATTIA;2022;482
1;MATTIA;XXXX;16
