sexe;preusuel;annais;nombre
2;CARMELLA;1911;4
2;CARMELLA;1924;4
2;CARMELLA;1925;4
2;CARMELLA;1926;4
2;CARMELLA;1927;8
2;CARMELLA;1928;4
2;CARMELLA;1929;4
2;CARMELLA;1931;4
2;CARMELLA;1932;3
2;CARMELLA;1933;4
2;CARMELLA;1934;7
2;CARMELLA;1949;4
2;CARMELLA;1958;5
2;CARMELLA;1959;4
2;CARMELLA;1960;4
2;CARMELLA;1961;4
2;CARMELLA;1962;5
2;CARMELLA;1963;6
2;CARMELLA;1964;8
2;CARMELLA;1965;7
2;CARMELLA;1966;6
2;CARMELLA;1967;4
2;CARMELLA;1968;6
2;CARMELLA;2001;3
2;CARMELLA;2003;5
2;CARMELLA;2007;4
2;CARMELLA;2011;3
2;CARMELLA;2014;3
2;CARMELLA;2018;4
2;CARMELLA;2019;3
2;CARMELLA;2020;5
2;CARMELLA;XXXX;73
