sexe;preusuel;annais;nombre
2;MARIE-NOËL;1922;3
2;MARIE-NOËL;1931;3
2;MARIE-NOËL;1939;3
2;MARIE-NOËL;1944;7
2;MARIE-NOËL;1945;6
2;MARIE-NOËL;1946;11
2;MARIE-NOËL;1947;14
2;MARIE-NOËL;1948;21
2;MARIE-NOËL;1949;21
2;MARIE-NOËL;1950;19
2;MARIE-NOËL;1951;15
2;MARIE-NOËL;1952;16
2;MARIE-NOËL;1953;12
2;MARIE-NOËL;1954;12
2;MARIE-NOËL;1955;18
2;MARIE-NOËL;1956;18
2;MARIE-NOËL;1957;15
2;MARIE-NOËL;1958;15
2;MARIE-NOËL;1959;9
2;MARIE-NOËL;1960;11
2;MARIE-NOËL;1961;18
2;MARIE-NOËL;1962;12
2;MARIE-NOËL;1963;9
2;MARIE-NOËL;1964;15
2;MARIE-NOËL;1965;10
2;MARIE-NOËL;1966;11
2;MARIE-NOËL;1967;19
2;MARIE-NOËL;1968;11
2;MARIE-NOËL;1969;16
2;MARIE-NOËL;1970;10
2;MARIE-NOËL;1971;10
2;MARIE-NOËL;1972;8
2;MARIE-NOËL;1973;5
2;MARIE-NOËL;1974;9
2;MARIE-NOËL;1975;5
2;MARIE-NOËL;1976;5
2;MARIE-NOËL;1977;4
2;MARIE-NOËL;1978;4
2;MARIE-NOËL;1980;3
2;MARIE-NOËL;1982;3
2;MARIE-NOËL;1985;4
2;MARIE-NOËL;XXXX;39
