sexe;preusuel;annais;nombre
2;LAURENA;1972;3
2;LAURENA;1974;3
2;LAURENA;1975;3
2;LAURENA;1979;7
2;LAURENA;1980;4
2;LAURENA;1981;7
2;LAURENA;1982;4
2;LAURENA;1983;6
2;LAURENA;1984;11
2;LAURENA;1985;10
2;LAURENA;1986;4
2;LAURENA;1987;11
2;LAURENA;1988;15
2;LAURENA;1989;18
2;LAURENA;1990;20
2;LAURENA;1991;28
2;LAURENA;1992;16
2;LAURENA;1993;30
2;LAURENA;1994;48
2;LAURENA;1995;51
2;LAURENA;1996;66
2;LAURENA;1997;53
2;LAURENA;1998;63
2;LAURENA;1999;92
2;LAURENA;2000;92
2;LAURENA;2001;87
2;LAURENA;2002;63
2;LAURENA;2003;77
2;LAURENA;2004;58
2;LAURENA;2005;66
2;LAURENA;2006;80
2;LAURENA;2007;66
2;LAURENA;2008;62
2;LAURENA;2009;73
2;LAURENA;2010;51
2;LAURENA;2011;23
2;LAURENA;2012;20
2;LAURENA;2013;21
2;LAURENA;2014;13
2;LAURENA;2015;22
2;LAURENA;2016;18
2;LAURENA;2017;10
2;LAURENA;2018;12
2;LAURENA;2019;10
2;LAURENA;2020;8
2;LAURENA;2021;8
2;LAURENA;2022;4
2;LAURENA;XXXX;22
