sexe;preusuel;annais;nombre
1;ADRIEN;1900;848
1;ADRIEN;1901;926
1;ADRIEN;1902;972
1;ADRIEN;1903;987
1;ADRIEN;1904;1018
1;ADRIEN;1905;981
1;ADRIEN;1906;1034
1;ADRIEN;1907;1034
1;ADRIEN;1908;1058
1;ADRIEN;1909;1048
1;ADRIEN;1910;1088
1;ADRIEN;1911;952
1;ADRIEN;1912;1108
1;ADRIEN;1913;1013
1;ADRIEN;1914;979
1;ADRIEN;1915;682
1;ADRIEN;1916;513
1;ADRIEN;1917;554
1;ADRIEN;1918;598
1;ADRIEN;1919;609
1;ADRIEN;1920;994
1;ADRIEN;1921;984
1;ADRIEN;1922;867
1;ADRIEN;1923;837
1;ADRIEN;1924;754
1;ADRIEN;1925;787
1;ADRIEN;1926;670
1;ADRIEN;1927;674
1;ADRIEN;1928;640
1;ADRIEN;1929;584
1;ADRIEN;1930;523
1;ADRIEN;1931;480
1;ADRIEN;1932;455
1;ADRIEN;1933;425
1;ADRIEN;1934;421
1;ADRIEN;1935;341
1;ADRIEN;1936;369
1;ADRIEN;1937;343
1;ADRIEN;1938;309
1;ADRIEN;1939;266
1;ADRIEN;1940;263
1;ADRIEN;1941;189
1;ADRIEN;1942;203
1;ADRIEN;1943;175
1;ADRIEN;1944;159
1;ADRIEN;1945;167
1;ADRIEN;1946;194
1;ADRIEN;1947;183
1;ADRIEN;1948;214
1;ADRIEN;1949;198
1;ADRIEN;1950;180
1;ADRIEN;1951;171
1;ADRIEN;1952;175
1;ADRIEN;1953;168
1;ADRIEN;1954;153
1;ADRIEN;1955;146
1;ADRIEN;1956;110
1;ADRIEN;1957;97
1;ADRIEN;1958;119
1;ADRIEN;1959;96
1;ADRIEN;1960;127
1;ADRIEN;1961;74
1;ADRIEN;1962;102
1;ADRIEN;1963;93
1;ADRIEN;1964;59
1;ADRIEN;1965;65
1;ADRIEN;1966;77
1;ADRIEN;1967;60
1;ADRIEN;1968;77
1;ADRIEN;1969;90
1;ADRIEN;1970;71
1;ADRIEN;1971;101
1;ADRIEN;1972;117
1;ADRIEN;1973;105
1;ADRIEN;1974;104
1;ADRIEN;1975;146
1;ADRIEN;1976;251
1;ADRIEN;1977;343
1;ADRIEN;1978;486
1;ADRIEN;1979;672
1;ADRIEN;1980;1124
1;ADRIEN;1981;1705
1;ADRIEN;1982;1769
1;ADRIEN;1983;1773
1;ADRIEN;1984;2226
1;ADRIEN;1985;3034
1;ADRIEN;1986;3684
1;ADRIEN;1987;3911
1;ADRIEN;1988;4201
1;ADRIEN;1989;4174
1;ADRIEN;1990;4221
1;ADRIEN;1991;4357
1;ADRIEN;1992;3849
1;ADRIEN;1993;3479
1;ADRIEN;1994;3917
1;ADRIEN;1995;3912
1;ADRIEN;1996;3627
1;ADRIEN;1997;3909
1;ADRIEN;1998;3616
1;ADRIEN;1999;3639
1;ADRIEN;2000;3636
1;ADRIEN;2001;3397
1;ADRIEN;2002;2855
1;ADRIEN;2003;2405
1;ADRIEN;2004;2347
1;ADRIEN;2005;2164
1;ADRIEN;2006;2022
1;ADRIEN;2007;1765
1;ADRIEN;2008;1575
1;ADRIEN;2009;1503
1;ADRIEN;2010;1350
1;ADRIEN;2011;1342
1;ADRIEN;2012;1305
1;ADRIEN;2013;1061
1;ADRIEN;2014;1145
1;ADRIEN;2015;969
1;ADRIEN;2016;892
1;ADRIEN;2017;866
1;ADRIEN;2018;786
1;ADRIEN;2019;720
1;ADRIEN;2020;647
1;ADRIEN;2021;561
1;ADRIEN;2022;495
