sexe;preusuel;annais;nombre
1;VIANNEY;1942;3
1;VIANNEY;1944;4
1;VIANNEY;1946;3
1;VIANNEY;1948;4
1;VIANNEY;1949;7
1;VIANNEY;1951;5
1;VIANNEY;1952;3
1;VIANNEY;1953;10
1;VIANNEY;1954;7
1;VIANNEY;1955;6
1;VIANNEY;1956;7
1;VIANNEY;1957;5
1;VIANNEY;1958;7
1;VIANNEY;1959;24
1;VIANNEY;1960;21
1;VIANNEY;1961;19
1;VIANNEY;1962;20
1;VIANNEY;1963;13
1;VIANNEY;1964;20
1;VIANNEY;1965;15
1;VIANNEY;1966;19
1;VIANNEY;1967;21
1;VIANNEY;1968;23
1;VIANNEY;1969;20
1;VIANNEY;1970;35
1;VIANNEY;1971;34
1;VIANNEY;1972;39
1;VIANNEY;1973;48
1;VIANNEY;1974;53
1;VIANNEY;1975;57
1;VIANNEY;1976;56
1;VIANNEY;1977;56
1;VIANNEY;1978;84
1;VIANNEY;1979;77
1;VIANNEY;1980;102
1;VIANNEY;1981;84
1;VIANNEY;1982;86
1;VIANNEY;1983;100
1;VIANNEY;1984;102
1;VIANNEY;1985;121
1;VIANNEY;1986;136
1;VIANNEY;1987;141
1;VIANNEY;1988;137
1;VIANNEY;1989;145
1;VIANNEY;1990;146
1;VIANNEY;1991;135
1;VIANNEY;1992;142
1;VIANNEY;1993;99
1;VIANNEY;1994;116
1;VIANNEY;1995;110
1;VIANNEY;1996;116
1;VIANNEY;1997;89
1;VIANNEY;1998;81
1;VIANNEY;1999;94
1;VIANNEY;2000;86
1;VIANNEY;2001;90
1;VIANNEY;2002;89
1;VIANNEY;2003;80
1;VIANNEY;2004;85
1;VIANNEY;2005;97
1;VIANNEY;2006;101
1;VIANNEY;2007;102
1;VIANNEY;2008;87
1;VIANNEY;2009;106
1;VIANNEY;2010;100
1;VIANNEY;2011;69
1;VIANNEY;2012;72
1;VIANNEY;2013;53
1;VIANNEY;2014;55
1;VIANNEY;2015;57
1;VIANNEY;2016;62
1;VIANNEY;2017;81
1;VIANNEY;2018;71
1;VIANNEY;2019;50
1;VIANNEY;2020;58
1;VIANNEY;2021;62
1;VIANNEY;2022;54
1;VIANNEY;XXXX;20
