sexe;preusuel;annais;nombre
2;IRINA;1931;3
2;IRINA;1961;3
2;IRINA;1963;3
2;IRINA;1966;3
2;IRINA;1968;3
2;IRINA;1969;4
2;IRINA;1970;5
2;IRINA;1971;5
2;IRINA;1972;6
2;IRINA;1973;5
2;IRINA;1974;7
2;IRINA;1976;4
2;IRINA;1977;7
2;IRINA;1978;8
2;IRINA;1979;14
2;IRINA;1980;12
2;IRINA;1981;9
2;IRINA;1982;7
2;IRINA;1983;18
2;IRINA;1984;16
2;IRINA;1985;14
2;IRINA;1986;17
2;IRINA;1987;13
2;IRINA;1988;18
2;IRINA;1989;20
2;IRINA;1990;20
2;IRINA;1991;31
2;IRINA;1992;30
2;IRINA;1993;35
2;IRINA;1994;28
2;IRINA;1995;59
2;IRINA;1996;43
2;IRINA;1997;33
2;IRINA;1998;40
2;IRINA;1999;62
2;IRINA;2000;57
2;IRINA;2001;58
2;IRINA;2002;70
2;IRINA;2003;81
2;IRINA;2004;106
2;IRINA;2005;93
2;IRINA;2006;105
2;IRINA;2007;105
2;IRINA;2008;125
2;IRINA;2009;117
2;IRINA;2010;101
2;IRINA;2011;124
2;IRINA;2012;103
2;IRINA;2013;125
2;IRINA;2014;123
2;IRINA;2015;109
2;IRINA;2016;148
2;IRINA;2017;131
2;IRINA;2018;129
2;IRINA;2019;143
2;IRINA;2020;150
2;IRINA;2021;118
2;IRINA;2022;169
2;IRINA;XXXX;31
