sexe;preusuel;annais;nombre
2;KADIJA;1955;6
2;KADIJA;1956;4
2;KADIJA;1957;4
2;KADIJA;1958;4
2;KADIJA;1959;5
2;KADIJA;1960;4
2;KADIJA;1962;4
2;KADIJA;1963;5
2;KADIJA;1964;4
2;KADIJA;1965;4
2;KADIJA;1966;8
2;KADIJA;1968;11
2;KADIJA;1969;7
2;KADIJA;1970;6
2;KADIJA;1971;13
2;KADIJA;1972;19
2;KADIJA;1973;26
2;KADIJA;1974;16
2;KADIJA;1975;11
2;KADIJA;1976;14
2;KADIJA;1977;33
2;KADIJA;1978;27
2;KADIJA;1979;24
2;KADIJA;1980;30
2;KADIJA;1981;23
2;KADIJA;1982;33
2;KADIJA;1983;29
2;KADIJA;1984;25
2;KADIJA;1985;24
2;KADIJA;1986;17
2;KADIJA;1987;19
2;KADIJA;1988;24
2;KADIJA;1989;22
2;KADIJA;1990;14
2;KADIJA;1991;12
2;KADIJA;1992;13
2;KADIJA;1993;13
2;KADIJA;1994;11
2;KADIJA;1995;8
2;KADIJA;1996;10
2;KADIJA;1997;10
2;KADIJA;1998;5
2;KADIJA;1999;9
2;KADIJA;2000;6
2;KADIJA;2001;11
2;KADIJA;2002;5
2;KADIJA;2003;15
2;KADIJA;2004;5
2;KADIJA;2005;14
2;KADIJA;2006;10
2;KADIJA;2007;14
2;KADIJA;2008;9
2;KADIJA;2009;12
2;KADIJA;2010;17
2;KADIJA;2011;17
2;KADIJA;2012;19
2;KADIJA;2013;18
2;KADIJA;2014;21
2;KADIJA;2015;20
2;KADIJA;2016;19
2;KADIJA;2017;23
2;KADIJA;2018;28
2;KADIJA;2019;21
2;KADIJA;2020;26
2;KADIJA;2021;25
2;KADIJA;2022;24
2;KADIJA;XXXX;3
