sexe;preusuel;annais;nombre
2;DIANE;1900;7
2;DIANE;1901;8
2;DIANE;1902;4
2;DIANE;1903;6
2;DIANE;1904;12
2;DIANE;1905;5
2;DIANE;1906;7
2;DIANE;1907;8
2;DIANE;1908;6
2;DIANE;1909;6
2;DIANE;1910;7
2;DIANE;1911;6
2;DIANE;1912;8
2;DIANE;1913;7
2;DIANE;1914;6
2;DIANE;1915;6
2;DIANE;1916;5
2;DIANE;1917;5
2;DIANE;1918;4
2;DIANE;1919;7
2;DIANE;1920;9
2;DIANE;1921;11
2;DIANE;1922;11
2;DIANE;1923;15
2;DIANE;1924;12
2;DIANE;1925;9
2;DIANE;1926;10
2;DIANE;1927;14
2;DIANE;1928;16
2;DIANE;1929;12
2;DIANE;1930;16
2;DIANE;1931;18
2;DIANE;1932;14
2;DIANE;1933;9
2;DIANE;1934;12
2;DIANE;1935;13
2;DIANE;1936;8
2;DIANE;1937;14
2;DIANE;1938;14
2;DIANE;1939;14
2;DIANE;1940;16
2;DIANE;1941;18
2;DIANE;1942;14
2;DIANE;1943;12
2;DIANE;1944;13
2;DIANE;1945;20
2;DIANE;1946;30
2;DIANE;1947;12
2;DIANE;1948;25
2;DIANE;1949;22
2;DIANE;1950;30
2;DIANE;1951;19
2;DIANE;1952;28
2;DIANE;1953;38
2;DIANE;1954;47
2;DIANE;1955;40
2;DIANE;1956;54
2;DIANE;1957;59
2;DIANE;1958;91
2;DIANE;1959;94
2;DIANE;1960;130
2;DIANE;1961;171
2;DIANE;1962;137
2;DIANE;1963;119
2;DIANE;1964;125
2;DIANE;1965;105
2;DIANE;1966;121
2;DIANE;1967;109
2;DIANE;1968;115
2;DIANE;1969;114
2;DIANE;1970;131
2;DIANE;1971;157
2;DIANE;1972;279
2;DIANE;1973;260
2;DIANE;1974;215
2;DIANE;1975;201
2;DIANE;1976;230
2;DIANE;1977;226
2;DIANE;1978;227
2;DIANE;1979;308
2;DIANE;1980;288
2;DIANE;1981;315
2;DIANE;1982;357
2;DIANE;1983;390
2;DIANE;1984;371
2;DIANE;1985;345
2;DIANE;1986;400
2;DIANE;1987;515
2;DIANE;1988;470
2;DIANE;1989;497
2;DIANE;1990;513
2;DIANE;1991;502
2;DIANE;1992;482
2;DIANE;1993;441
2;DIANE;1994;418
2;DIANE;1995;438
2;DIANE;1996;431
2;DIANE;1997;390
2;DIANE;1998;331
2;DIANE;1999;341
2;DIANE;2000;351
2;DIANE;2001;356
2;DIANE;2002;358
2;DIANE;2003;319
2;DIANE;2004;364
2;DIANE;2005;364
2;DIANE;2006;360
2;DIANE;2007;358
2;DIANE;2008;361
2;DIANE;2009;345
2;DIANE;2010;366
2;DIANE;2011;403
2;DIANE;2012;462
2;DIANE;2013;423
2;DIANE;2014;421
2;DIANE;2015;437
2;DIANE;2016;412
2;DIANE;2017;427
2;DIANE;2018;488
2;DIANE;2019;514
2;DIANE;2020;566
2;DIANE;2021;646
2;DIANE;2022;701
