sexe;preusuel;annais;nombre
2;NASSIMA;1958;3
2;NASSIMA;1959;3
2;NASSIMA;1960;4
2;NASSIMA;1961;5
2;NASSIMA;1962;5
2;NASSIMA;1963;5
2;NASSIMA;1964;10
2;NASSIMA;1965;5
2;NASSIMA;1966;9
2;NASSIMA;1967;11
2;NASSIMA;1968;15
2;NASSIMA;1969;13
2;NASSIMA;1970;13
2;NASSIMA;1971;27
2;NASSIMA;1972;22
2;NASSIMA;1973;22
2;NASSIMA;1974;30
2;NASSIMA;1975;38
2;NASSIMA;1976;45
2;NASSIMA;1977;66
2;NASSIMA;1978;64
2;NASSIMA;1979;77
2;NASSIMA;1980;92
2;NASSIMA;1981;88
2;NASSIMA;1982;112
2;NASSIMA;1983;132
2;NASSIMA;1984;124
2;NASSIMA;1985;106
2;NASSIMA;1986;98
2;NASSIMA;1987;132
2;NASSIMA;1988;98
2;NASSIMA;1989;116
2;NASSIMA;1990;106
2;NASSIMA;1991;113
2;NASSIMA;1992;100
2;NASSIMA;1993;94
2;NASSIMA;1994;94
2;NASSIMA;1995;79
2;NASSIMA;1996;60
2;NASSIMA;1997;70
2;NASSIMA;1998;65
2;NASSIMA;1999;57
2;NASSIMA;2000;78
2;NASSIMA;2001;69
2;NASSIMA;2002;61
2;NASSIMA;2003;53
2;NASSIMA;2004;64
2;NASSIMA;2005;58
2;NASSIMA;2006;59
2;NASSIMA;2007;50
2;NASSIMA;2008;38
2;NASSIMA;2009;37
2;NASSIMA;2010;50
2;NASSIMA;2011;27
2;NASSIMA;2012;29
2;NASSIMA;2013;28
2;NASSIMA;2014;16
2;NASSIMA;2015;15
2;NASSIMA;2016;18
2;NASSIMA;2017;18
2;NASSIMA;2018;7
2;NASSIMA;2019;12
2;NASSIMA;2020;8
2;NASSIMA;2021;12
2;NASSIMA;2022;13
2;NASSIMA;XXXX;3
