sexe;preusuel;annais;nombre
2;SYBILLE;1927;3
2;SYBILLE;1928;3
2;SYBILLE;1933;4
2;SYBILLE;1942;3
2;SYBILLE;1943;4
2;SYBILLE;1944;6
2;SYBILLE;1946;5
2;SYBILLE;1947;4
2;SYBILLE;1948;5
2;SYBILLE;1949;10
2;SYBILLE;1950;9
2;SYBILLE;1951;16
2;SYBILLE;1952;8
2;SYBILLE;1953;20
2;SYBILLE;1954;7
2;SYBILLE;1955;7
2;SYBILLE;1956;5
2;SYBILLE;1957;5
2;SYBILLE;1958;10
2;SYBILLE;1959;15
2;SYBILLE;1960;12
2;SYBILLE;1961;11
2;SYBILLE;1962;23
2;SYBILLE;1963;22
2;SYBILLE;1964;24
2;SYBILLE;1965;49
2;SYBILLE;1966;40
2;SYBILLE;1967;65
2;SYBILLE;1968;200
2;SYBILLE;1969;172
2;SYBILLE;1970;166
2;SYBILLE;1971;154
2;SYBILLE;1972;151
2;SYBILLE;1973;104
2;SYBILLE;1974;97
2;SYBILLE;1975;47
2;SYBILLE;1976;58
2;SYBILLE;1977;44
2;SYBILLE;1978;47
2;SYBILLE;1979;31
2;SYBILLE;1980;22
2;SYBILLE;1981;24
2;SYBILLE;1982;20
2;SYBILLE;1983;22
2;SYBILLE;1984;30
2;SYBILLE;1985;35
2;SYBILLE;1986;34
2;SYBILLE;1987;27
2;SYBILLE;1988;23
2;SYBILLE;1989;41
2;SYBILLE;1990;37
2;SYBILLE;1991;52
2;SYBILLE;1992;35
2;SYBILLE;1993;23
2;SYBILLE;1994;35
2;SYBILLE;1995;33
2;SYBILLE;1996;29
2;SYBILLE;1997;31
2;SYBILLE;1998;25
2;SYBILLE;1999;25
2;SYBILLE;2000;19
2;SYBILLE;2001;26
2;SYBILLE;2002;28
2;SYBILLE;2003;25
2;SYBILLE;2004;25
2;SYBILLE;2005;24
2;SYBILLE;2006;33
2;SYBILLE;2007;40
2;SYBILLE;2008;36
2;SYBILLE;2009;30
2;SYBILLE;2010;50
2;SYBILLE;2011;48
2;SYBILLE;2012;38
2;SYBILLE;2013;38
2;SYBILLE;2014;40
2;SYBILLE;2015;39
2;SYBILLE;2016;45
2;SYBILLE;2017;63
2;SYBILLE;2018;50
2;SYBILLE;2019;59
2;SYBILLE;2020;45
2;SYBILLE;2021;45
2;SYBILLE;2022;54
2;SYBILLE;XXXX;26
