sexe;preusuel;annais;nombre
1;SCHOLASTIQUE;1906;7
1;SCHOLASTIQUE;1908;4
1;SCHOLASTIQUE;1909;6
1;SCHOLASTIQUE;1910;3
1;SCHOLASTIQUE;1911;7
1;SCHOLASTIQUE;1912;3
1;SCHOLASTIQUE;1913;3
1;SCHOLASTIQUE;1915;5
1;SCHOLASTIQUE;1920;3
1;SCHOLASTIQUE;1922;5
1;SCHOLASTIQUE;1923;6
1;SCHOLASTIQUE;1925;4
1;SCHOLASTIQUE;1926;6
1;SCHOLASTIQUE;1927;6
1;SCHOLASTIQUE;1928;3
1;SCHOLASTIQUE;1930;4
1;SCHOLASTIQUE;1931;8
1;SCHOLASTIQUE;1933;6
1;SCHOLASTIQUE;1934;7
1;SCHOLASTIQUE;1935;3
1;SCHOLASTIQUE;1936;6
1;SCHOLASTIQUE;1938;4
1;SCHOLASTIQUE;1939;7
1;SCHOLASTIQUE;1940;12
1;SCHOLASTIQUE;1941;6
1;SCHOLASTIQUE;1942;4
1;SCHOLASTIQUE;1943;4
1;SCHOLASTIQUE;1944;4
1;SCHOLASTIQUE;1945;7
1;SCHOLASTIQUE;1946;3
1;SCHOLASTIQUE;1947;6
1;SCHOLASTIQUE;1949;9
1;SCHOLASTIQUE;1950;5
1;SCHOLASTIQUE;1951;3
1;SCHOLASTIQUE;1953;6
1;SCHOLASTIQUE;1954;7
1;SCHOLASTIQUE;1956;6
1;SCHOLASTIQUE;1958;5
1;SCHOLASTIQUE;1960;4
1;SCHOLASTIQUE;1963;3
1;SCHOLASTIQUE;1971;3
1;SCHOLASTIQUE;XXXX;32
