sexe;preusuel;annais;nombre
1;MORAD;1954;5
1;MORAD;1955;3
1;MORAD;1956;13
1;MORAD;1957;7
1;MORAD;1958;7
1;MORAD;1959;6
1;MORAD;1960;14
1;MORAD;1961;15
1;MORAD;1962;17
1;MORAD;1963;21
1;MORAD;1964;21
1;MORAD;1965;28
1;MORAD;1966;38
1;MORAD;1967;51
1;MORAD;1968;52
1;MORAD;1969;61
1;MORAD;1970;78
1;MORAD;1971;76
1;MORAD;1972;86
1;MORAD;1973;86
1;MORAD;1974;116
1;MORAD;1975;97
1;MORAD;1976;121
1;MORAD;1977;126
1;MORAD;1978;152
1;MORAD;1979;133
1;MORAD;1980;158
1;MORAD;1981;158
1;MORAD;1982;138
1;MORAD;1983;112
1;MORAD;1984;123
1;MORAD;1985;89
1;MORAD;1986;105
1;MORAD;1987;69
1;MORAD;1988;65
1;MORAD;1989;72
1;MORAD;1990;74
1;MORAD;1991;56
1;MORAD;1992;65
1;MORAD;1993;57
1;MORAD;1994;37
1;MORAD;1995;35
1;MORAD;1996;29
1;MORAD;1997;35
1;MORAD;1998;21
1;MORAD;1999;29
1;MORAD;2000;17
1;MORAD;2001;17
1;MORAD;2002;12
1;MORAD;2003;12
1;MORAD;2004;12
1;MORAD;2005;8
1;MORAD;2006;10
1;MORAD;2007;13
1;MORAD;2008;9
1;MORAD;2009;9
1;MORAD;2010;8
1;MORAD;2011;13
1;MORAD;2012;4
1;MORAD;2013;10
1;MORAD;2014;4
1;MORAD;2015;9
1;MORAD;2018;9
1;MORAD;2019;3
1;MORAD;2020;7
1;MORAD;2021;6
1;MORAD;2022;3
1;MORAD;XXXX;12
