sexe;preusuel;annais;nombre
2;SOUADE;1961;3
2;SOUADE;1964;3
2;SOUADE;1965;5
2;SOUADE;1966;5
2;SOUADE;1968;3
2;SOUADE;1969;9
2;SOUADE;1970;4
2;SOUADE;1971;5
2;SOUADE;1972;8
2;SOUADE;1973;7
2;SOUADE;1974;12
2;SOUADE;1975;17
2;SOUADE;1976;16
2;SOUADE;1977;15
2;SOUADE;1978;17
2;SOUADE;1979;26
2;SOUADE;1980;29
2;SOUADE;1981;28
2;SOUADE;1982;23
2;SOUADE;1983;14
2;SOUADE;1984;21
2;SOUADE;1985;21
2;SOUADE;1986;10
2;SOUADE;1987;10
2;SOUADE;1988;9
2;SOUADE;1989;9
2;SOUADE;1990;4
2;SOUADE;1991;9
2;SOUADE;1992;5
2;SOUADE;1993;4
2;SOUADE;1994;6
2;SOUADE;1995;6
2;SOUADE;1996;5
2;SOUADE;1997;4
2;SOUADE;1998;3
2;SOUADE;1999;3
2;SOUADE;2001;3
2;SOUADE;2005;7
2;SOUADE;2012;4
2;SOUADE;2013;3
2;SOUADE;XXXX;18
