sexe;preusuel;annais;nombre
1;AZIZ;1950;3
1;AZIZ;1951;3
1;AZIZ;1952;3
1;AZIZ;1953;3
1;AZIZ;1954;5
1;AZIZ;1955;6
1;AZIZ;1956;5
1;AZIZ;1957;9
1;AZIZ;1958;16
1;AZIZ;1959;10
1;AZIZ;1960;13
1;AZIZ;1961;17
1;AZIZ;1962;15
1;AZIZ;1963;35
1;AZIZ;1964;16
1;AZIZ;1965;35
1;AZIZ;1966;45
1;AZIZ;1967;35
1;AZIZ;1968;56
1;AZIZ;1969;40
1;AZIZ;1970;54
1;AZIZ;1971;49
1;AZIZ;1972;42
1;AZIZ;1973;72
1;AZIZ;1974;82
1;AZIZ;1975;85
1;AZIZ;1976;113
1;AZIZ;1977;122
1;AZIZ;1978;122
1;AZIZ;1979;120
1;AZIZ;1980;133
1;AZIZ;1981;151
1;AZIZ;1982;152
1;AZIZ;1983;135
1;AZIZ;1984;131
1;AZIZ;1985;129
1;AZIZ;1986;134
1;AZIZ;1987;117
1;AZIZ;1988;115
1;AZIZ;1989;62
1;AZIZ;1990;84
1;AZIZ;1991;75
1;AZIZ;1992;78
1;AZIZ;1993;51
1;AZIZ;1994;37
1;AZIZ;1995;43
1;AZIZ;1996;37
1;AZIZ;1997;26
1;AZIZ;1998;22
1;AZIZ;1999;36
1;AZIZ;2000;30
1;AZIZ;2001;41
1;AZIZ;2002;40
1;AZIZ;2003;30
1;AZIZ;2004;36
1;AZIZ;2005;45
1;AZIZ;2006;34
1;AZIZ;2007;40
1;AZIZ;2008;41
1;AZIZ;2009;31
1;AZIZ;2010;32
1;AZIZ;2011;45
1;AZIZ;2012;30
1;AZIZ;2013;33
1;AZIZ;2014;35
1;AZIZ;2015;42
1;AZIZ;2016;65
1;AZIZ;2017;42
1;AZIZ;2018;50
1;AZIZ;2019;41
1;AZIZ;2020;56
1;AZIZ;2021;45
1;AZIZ;2022;41
1;AZIZ;XXXX;6
