sexe;preusuel;annais;nombre
2;CORNELIE;1900;12
2;CORNELIE;1901;24
2;CORNELIE;1902;21
2;CORNELIE;1903;27
2;CORNELIE;1904;14
2;CORNELIE;1905;5
2;CORNELIE;1906;19
2;CORNELIE;1907;14
2;CORNELIE;1908;10
2;CORNELIE;1909;15
2;CORNELIE;1910;13
2;CORNELIE;1911;10
2;CORNELIE;1912;10
2;CORNELIE;1913;9
2;CORNELIE;1914;14
2;CORNELIE;1915;4
2;CORNELIE;1916;3
2;CORNELIE;1917;6
2;CORNELIE;1918;6
2;CORNELIE;1919;8
2;CORNELIE;1920;7
2;CORNELIE;1921;6
2;CORNELIE;1922;5
2;CORNELIE;1923;5
2;CORNELIE;1924;4
2;CORNELIE;1925;4
2;CORNELIE;1926;5
2;CORNELIE;1927;4
2;CORNELIE;1928;6
2;CORNELIE;1929;4
2;CORNELIE;1930;23
2;CORNELIE;1931;9
2;CORNELIE;1932;6
2;CORNELIE;1933;4
2;CORNELIE;1935;3
2;CORNELIE;1938;3
2;CORNELIE;1940;5
2;CORNELIE;1942;6
2;CORNELIE;1943;5
2;CORNELIE;1944;4
2;CORNELIE;1945;10
2;CORNELIE;1947;7
2;CORNELIE;1948;3
2;CORNELIE;1950;3
2;CORNELIE;1953;4
2;CORNELIE;1954;3
2;CORNELIE;1955;3
2;CORNELIE;1958;4
2;CORNELIE;1959;4
2;CORNELIE;1960;3
2;CORNELIE;1961;4
2;CORNELIE;1963;4
2;CORNELIE;1967;7
2;CORNELIE;1968;4
2;CORNELIE;1971;3
2;CORNELIE;1974;3
2;CORNELIE;1980;3
2;CORNELIE;1982;5
2;CORNELIE;1991;4
2;CORNELIE;1996;3
2;CORNELIE;1999;3
2;CORNELIE;XXXX;58
